text_name_middle,Count
,213505
'aaziyah Tiera,1
'anolani,1
'Joe',1
'Marie',1
'Reggie',1
'Shane',1
'Sonny',1
-,6
--,1
-nmi-,1
(Betty),1
(Father),1
(Isabel),1
(J),1
(James),1
(Jerry) A,1
(Jetty),1
(Joey) Kay,1
(Kathy),1
(Kay) Jane,1
(Lori) M,1
(Marie),1
(Martinez),1
(Mike) M.,1
(Mrs Walter),1
(Peg),1
(Peggy) E,1
(Rob),1
(Scot),1
(Son),1
(Sue),1
(Suzette),1
(swede) Leon,1
(Tammy) K.,1
(V),1
(Vickie) H,1
0,3
3013,1
6123969796,1
8430,1
9131536320,1
a,2
A,58064
A'ishah,1
A'keith,1
A'lesia,1
A'lice,1
A'lisa,1
A'loysius,1
A'marie,1
A'mire,1
A'naya,1
A'nett,1
A'ree,1
A'sire Fabrisse,1
A'veeon,1
A'zariah,1
A-jack,1
A-L,1
A  Jr,1
A (cheri)-Ochs,1
A A,3
A B,6
A Broderick,1
A C,9
A C Guadalupe,1
A Christophaerus,1
A Cowen,1
A Creager,1
A D,5
A Duphorne,1
A Dvm,1
A E,7
A Earl,1
A Edward,1
A Eifert,1
A F,1
A G,5
A Glenn,1
A Goetsch,1
A Goltry,1
A Greiner,1
A H,2
A Hoffman,1
A Hunt,1
A I,1
A J,8
A J W I,1
A Jeanett,1
A Jones,1
A Jr,1
A K,4
A Kaufman,1
A Kelly,1
A Kiefer,1
A Killingsworth,1
A L,11
A Lillig,1
A Ly,1
A M,17
A M.,1
A N,2
A Nn,1
A O,1
A Owen,1
A P,3
A Peters,1
A Phillips,1
A Post,1
A Q,2
A Qarnain,1
A R,10
A S,4
A Sean,1
A Shae Leigh,1
A Sharp,1
A Shaw,1
A T,5
A Tim,1
A Toni,1
A W,6
A Watson,1
A William,1
A X,1
A Z,2
A(Andy),1
A.,1416
A. (Al),1
A. B.,1
A. F.,1
A. G.,2
A. L.,1
A. M,1
A. Q.,1
A. S.,1
A. T.,1
A.A.,1
A.c,1
A.C.,4
A.d.,1
A.E,1
A.E.,3
A.F.,1
A.h.,1
A.H.,1
A.J.,1
A.L,1
A.l.,1
A.L.,2
A.m.,4
A.M.,4
A.R.,3
A.W,1
A.W.,1
Aabk,1
Aadae Nzingha,1
Aaden Del,1
Aafke,1
Aage,1
Aaidan,1
Aailliah,1
Aakil,1
Aalan,3
Aalayah Lashall,1
Aaleah,1
Aalexyiah,1
Aaleyah Louise,1
Aaliah,2
Aaliyah,24
Aaliyah Hazel-Louise Ethe,1
Aaliyah Marie,1
Aaliyah Michelle,1
Aaliyahnae,1
Aames,1
Aamir,4
Aamir Adwele,1
