text_res_unit_nbr,Count
,1799220
-A,1
# 1,1
# 8,1
# B,2
# C,2
#1,5
#10,2
#113-12,1
#115,1
#12,2
#15A,1
#198,1
#2,10
#207,1
#208,1
#209,1
#215,1
#234E,1
#26,2
#27,1
#3,7
#30,1
#302,1
#32,2
#4,5
#5,2
#6,3
#7,1
#8,2
#9,4
#A,2
#B,1
#B8,1
#G,1
#G303,1
#H,1
#I,1
#O0 #2,1
*,1
.,1
.5,4
:,2
:05,1
:2,1
:8,1
:B7,1
?,4
??,1
0,17
00,1
000,5
0000,1
001,10
002,6
003,10
004,9
005,2
005A,1
006,4
007,3
008,2
008N,1
01,17
01-202,1
010,2
0106,1
0108,1
011,5
0110,2
01106,1
0112,1
0117,1
012,3
0153,1
0157,1
0159,1
018,1
019,1
02,18
02-101,1
02-102,1
02-302,1
02-306,1
0201,1
0203,1
0204,1
0205,1
021,1
0211,1
0212,1
022,1
0221,1
0224,1
02304,1
02306,1
0232,1
02A,1
02H,1
03,16
03-08,1
03-305,1
0306,1
0308,1
0313,1
0316,1
03201,1
03208,1
0321,2
0324,1
0330,1
0333,1
0338,1
037,1
039,1
03C,1
03G,1
03H,1
04,15
04-203,1
04-303,1
04-305,1
0401,1
0402,1
0404,1
0409,1
041,1
0410,1
0416,1
04201,2
0422,1
043,1
047,1
05,8
05-103,1
05-106,1
050,1
0501,1
0503,1
0508,1
0513,1
0516,1
052,1
0521,1
0522,1
05302,1
05305,1
054,1
058,1
05C,1
05J,1
06,9
06 D,1
0602,1
0605,1
0606,1
061,1
06102,1
0611,1
0612,1
0613,1
0614,1
0617,1
06201,1
06204,1
0622,2
066,1
06A,1
06B,1
06C,1
07,6
07-102,1
07-106,1
0702,1
0703,1
0707,1
0712,1
0714,2
0716,2
07303,1
0734-C,1
078,1
079,1
08,12
08-101,1
08-201,1
08-204,1
08-205,2
08-303,2
08 E,1
080,1
0801,1
0803,1
0806,2
0808,1
0809,1
0810,1
08106,1
0814,1
0815,1
083,1
0833,1
087,1
089,2
09,13
09-106,1
09-206,2
09-302,1
0902,1
0904,1
0906,1
0908,1
09101,1
0913,1
0917,1
09202,1
0921,1
0923,1
09301,1
0931-A,1
094,2
097,1
09C,1
1,6297
1-03,1
1-04,1
1-05,1
1-07,1
1-1,2
1-10,2
1-101,2
1-102D,1
1-103,2
1-104,1
1-105,1
1-106,4
1-107,2
1-108,1
1-113,1
1-114,2
1-2,2
1-201,2
1-202,1
1-203,2
1-204,3
1-206,1
1-220,1
1-223,1
1-3,1
1-301,1
1-303,1
1-304,1
1-307,2
1-412,1
1-46,1
1-8,1
1-A,2
1-A1,2
1-B,5
1-B4,1
1-B5,1
1-C,1
1-C1,1
1-C2,1
1-C5,1
1-E,2
1-F,1
1-K,1
1 212,1
1 A,1
1 SOUTH,1
1 W,1
1/,1
1/2,151
1/2 D,1
10,1354
10-101,2
10-102,2
10-1022B,1
10-103,5
10-1033A,1
10-104,4
10-105,2
10-106,3
10-108,1
10-109,1
10-201,5
10-202,2
10-204,1
10-205,1
10-206,1
10-207,2
10-208,2
10-304,2
10-306,1
10-309,1
10-5,1
10-A,1
10-B,1
10-E,1
10 B,1
10 L,1
100,364
100-1,2
100-2,1
100-4,1
100-5,1
100-7,3
100 B,1
1000,14
1001,159
1002,148
1003,118
1004,129
1005,89
1006,104
1007,77
1008,91
1008B,1
1009,50
100A,4
100B,6
101,1894
101-28,2
101-A,1
101-D,1
101 A,1
1010,63
10101,13
10102,24
10103,19
10104,15
10105,19
10106,14
10107,7
10108,3
10109,2
1011,88
10110,10
10111,1
10112,2
10116,1
10118,2
1011A,1
1012,98
1013,61
1014,69
1014A,1
1015,50
1016,59
1016-A,1
1016C,1
1017,32
10176,1
1017A,2
1018,38
1019,23
101A,18
101B,12
101C,7
101D,2
101E,1
101F,1
101N,1
101W,1
102,1896
102-1,1
102-A,1
102 B,1
1020,20
10201,17
10202,13
10203,11
10204,19
10205,9
10206,12
10207,6
10208,5
10209,1
1021,56
10210,5
10211,3
10212,4
10214,2
10215,1
10217,2
10218,2
1022,55
1023,48
1024,48
1025,26
1026,29
1026B,1
1027,25
1027A,1
1028,20
1029,8
1029-7,1
1029 1/2,1
102A,11
102B,12
102C,3
102D,1
102E,2
102S,1
103,1557
103-D,2
103 B,1
1030,3
10301,5
10302,5
10303,4
10304,8
10306,3
10307,2
10308,1
1031,22
10310,1
10311,2
10312,2
10313,2
10314,3
10315,1
10316,1
1032,12
1033,16
1033C,1
1034,11
1034A,1
1035,11
1036,10
1036A,1
1037,12
1038,12
1039,3
103A,14
103B,10
103C,4
103D,4
104,1486
104-A,1
104-D,1
104 A,1
104 B 11,1
1040,2
1041,3
1042,2
1043,2
1045,1
1047,4
1049,1
104A,6
104B,6
104C,3
104S,1
105,1113
105-A,1
105 B,1
1052,1
1053,3
1054,3
1055,3
1056,3
1057,1
1058,2
1059,1
105A,4
105B,8
105C,3
105D,3
105F,2
105L,1
105R,2
106,1131
106-14,1
1060,1
1061,2
10616,1
1063,1
1064,1
1066,1
1069,2
106A,7
106B,4
106C,1
106D,2
107,871
107-1,1
107-A,2
107-B,1
107-D,1
1070,2
1072,1
10724,1
1076,1
1078,2
10783B,1
107A,14
107B,9
107C,3
107D,1
107E,1
107F,1
107R,1
107W,1
108,863
108 B,1
10805,1
1080R,1
10859-G,1
1088,1
1089,2
108A,8
108B,6
108D,1
108F,1
108S,1
109,540
10908,1
10960,1
1097,3
1099,2
109A,5
109B,2
109C,1
109W,1
10A,35
10A2,2
10A7,3
10A8,1
10B,29
10B3,1
10B9,1
10C,30
10C5,1
10D,15
10E,11
10F,9
10G,4
10H,6
10IK,1
10K,1
10S,2
10W,1
11,1321
11-101,6
11-102,3
11-103,3
11-104,1
11-105,2
11-106,3
11-108,1
11-1111A,1
11-1111B,1
11-1126,1
11-202,3
11-203,3
11-204,1
11-205,2
11-206,2
11-208,1
11-302,2
11-309,1
11-67,1
11-A2,1
11-O,1
11 - 250,1
11/106,1
110,634
1100,18
11002,2
11004,2
1100A,2
1101,160
1101-8,1
11011,2
11013,3
11015,2
11017,1
11019,1
1101A,1
1102,167
1103,144
1103N,1
1104,135
1105,135
1105-14,1
11050,1
1106,136
1107,109
1108,110
1109,76
110B,2
110I,1
111,642
111-06,1
1110,70
11101,11
11102,12
11103,15
11104,14
11105,15
11106,23
11107,9
11108,9
11109,4
1111,98
1111-C,1
11110,3
11111,1
11112,1
11113,1
11114,1
11115,3
11117,1
11118,1
11119,1
1112,89
11120,1
1113,66
1114,61
1115,53
1115B,1
1116,54
11164,1
1116A,1
1117,44
1118,42
1118B,1
1119,19
111A,7
111B,5
111C,1
111D,1
112,589
112-5,1
112-B,1
112 B,1
1120,18
11201,19
11202,18
11203,12
11204,10
11205,17
11206,12
11207,6
11208,6
1121,46
11210,4
11211,2
11212,3
11213,3
11214,2
11215,1
11216,2
11217,1
11219,1
1121A,1
1122,47
11220,1
1123,50
1123A,1
1123H,1
1124,47
11243,1
1125,14
1126,21
1127,25
1128,11
1129,2
112A,3
112B,2
112C,1
113,388
113-A,1
1130,1
11301,8
11302,5
11303,6
11304,7
11305,6
11306,5
11307,3
11308,3
11309,1
1131,12
11310,1
11311,2
11312,2
11313,2
11314,1
11315,3
11316,1
11317,1
11318,1
11319,1
1132,18
11320,2
1133,15
1133A,1
1134,11
1135,6
1136,11
1137,9
1138,8
113A,1
113B,4
114,407
114-2,1
114-A,1
1140,1
11401,3
11402,4
11403,2
11404,4
11405,6
11407,1
11408,1
11409,1
1141,1
11411,3
11412,2
11413,5
11414,3
11415,3
11417,1
11419,2
1142,2
11420,1
1143,1
1144,4
1147,3
1149,1
114A,1
114B,5
114D,1
114W,1
115,373
115 B,1
115 CORBIN,1
115 D,1
1158,1
115A,2
115B,1
115D,1
116,366
1164,1
116A,1
116B,3
116C,1
116D,1
117,314
1177,2
1179,3
117B,1
118,292
118-306,2
1184,1
118A,1
118E,1
119,239
1192,1
1197,1
119A,1
119B,1
11A,26
11A1,1
11A2,1
11A5,1
11B,27
11B3,1
11B4,1
11B7,1
11B8,1
11C,25
11D,7
11DE,2
11E,3
11F,5
11G,2
11H,4
11I,1
11J,1
11L,1
11M,2
11N,1
11T,1
11V,1
11W,2
11Y,1
12,1242
12-101,2
12-102,4
12-103,5
12-104,3
12-105,1
12-106,3
12-107,1
12-108,2
12-201,3
12-202,4
12-203,2
12-204,2
12-205,3
12-206,1
12-208,1
12-301,1
12-304,3
12-67,1
12-G,1
120,265
120- 20,1
120-1,1
1200,18
12003,1
12005,1
12006,1
12007,1
12008,1
12009,1
1201,167
1201-B,1
12010,1
12011,1
12012,1
