text_res_city,Count
Abbyville,212
Abilene,7204
Ada,64
Admire,205
Agenda,110
Agra,282
Albert,247
Alden,139
Alexander,57
Allen,387
Alma,1363
Almena,385
Alta Vista,645
Altamont,1113
Alton,194
Altoona,410
Americus,857
Andale,1399
Andover,12995
Anthony,1727
Arcadia,483
Argonia,605
Arkansas City,8528
Arlington,449
Arma,1495
Arnold,32
Ashland,795
Assaria,784
Atchison,9689
Athol,111
Atlanta,328
Attica,507
Atwood,1299
Auburn,2204
Augusta,10038
Aurora,131
Axtell,565
Baileyville,376
Baldwin City,5728
Bancroft,2
Barnard,130
Barnes,178
Bartlett,190
Basehor,8386
Bavaria,30
Baxter Springs,4341
Bazine,246
Beattie,274
Beaumont,39
Beeler,55
Bel Aire,7016
Belle Plaine,2271
Belleville,1788
Beloit,3125
Belpre,126
Belvidere,10
Belvue,374
Bendena,170
Benedict,107
Bennington,908
Bentley,374
Benton,1968
Bern,337
Berryton,2614
Beverly,198
Bird City,487
Bison,243
Blaine,4
Bloom,29
Blue Mound,438
Blue Rapids,830
Bluff City,103
Bogue,181
Bonner Springs,7215
Bremen,209
Brewster,396
Bridgeport,51
Bronson,376
Brookville,491
Brownell,102
Bucklin,611
Bucyrus,1482
Buffalo,315
Buhler,1512
Bunker Hill,132
Burden,591
Burdett,261
Burdick,115
Burlingame,1417
Burlington,2632
Burns,436
Burr Oak,227
Burrton,1089
Bushong,22
Bushton,292
Byers,49
Byron,20
Caldwell,1097
Cambridge,151
Caney,1981
Canton,854
Carbondale,2102
Carlton,150
Carlyle,12
Cassoday,224
Catherine,72
Cawker City,445
Cedar,63
Cedar Point,154
Cedar Vale,496
Centerville,327
Centralia,631
Chanute,7951
Chapman,1817
Chase,379
Chautauqua,35
Cheney,2900
Cherokee,757
Cherrryvale,2
Cherryvale,2273
Chester,23
Chetopa,1071
Cimarron,1890
Circleville,353
Claflin,811
Clay Center,4250
Clayton,113
Clearwater,3541
Clifton,570
Climax ,27
Clyde,703
Coats,127
Codell,42
Coffeyville,7301
Colby,4440
Coldwater,634
Collyer,160
Colony,624
Columbus,4045
Colwich,2079
Concordia,4064
Conway Springs,1598
Coolidge,77
Copeland,319
Corning,299
Cottonwood Falls,743
Council Grove,2435
Courtland,405
Coyville,3
Crestline,41
Cuba,228
Culver,181
Cummings,421
Cunningham,641
Damar,185
Danbury,15
Danville,99
De Soto,4788
Dearing,206
Deerfield,509
Delavan,28
Delia,461
Delphos,413
Denison,278
Dennis,221
Densmore,3
Denton,219
Derby,21689
Dexter,320
Dighton,961
Dodge City,14575
Dorrance,200
Douglass,2398
Downs,797
Dresden,116
Dunlap,23
Durham,144
Dwight,349
Eastborough,637
Easton,1307
Edgerton,1915
Edmond,52
Edna,671
Edson,99
Edwardsville,3081
Effingham,780
El Dorado,11292
Elbing,170
Elk City,639
Elk Falls,137
Elkhart,1502
Ellinwood,1859
Ellis,2011
Ellsworth,1901
Elmdale,140
Elsmore,178
Elwood,669
Emmett,339
Emporia,16940
Englewood,85
Ensign,240
Enterprise,754
Erie,1606
Esbon,196
Eskridge,646
Eudora,5741
Eureka,2395
Everest,418
Fairview,332
Fairway,3451
Fall River,510
Falun,182
Farlington,282
Florence,387
Fontana,487
Ford,244
Formoso,158
Fort Larned,2
Fort Riley,4040
Fort Scott,10593
Fowler,573
Frankfort,967
Franklin,393
Fredonia,2046
Freeport,57
Friend,14
Frontenac,2584
Ft Dodge,18
Ft. Leavenworth,1585
Fulton,284
Galena,4166
Galesburg,301
Galva,927
Garden City,18988
Garden Plain,1531
Gardner,17135
Garfield,226
Garland,184
Garnett,3675
Gas,342
Gaylord,159
Gem,151
Geneseo,388
Geuda Springs,306
Girard,3293
Glade,140
Glasco,407
Glen Elder,436
Glendale,12
Goddard,7181
Goessel,375
Goff,274
Goodland,3453
Gorham,362
Gove,187
Grainfield,372
Grantville,437
Great Bend,11415
Greeley,556
Green,229
Greenleaf,289
Greensburg,724
Greenwich,40
Grenola,257
Gridley,437
Grinnell,395
Gypsum,818
Haddam,142
Hallowell,1
Halstead,1900
Hamilton,311
Hanover,718
Hanston,291
Hardtner,138
Hardy,12
