text_res_zip4,Count
,1625931
-571,1
0,1
0000,8888
0001,12
0002,10
0003,7
0004,10
0005,15
0006,16
0007,10
0008,4
0009,2
0010,1
0011,10
0012,13
0013,11
0014,11
0015,10
0016,5
0017,5
0018,2
0019,3
0020,3
0021,7
0022,9
0023,10
0024,15
0025,12
0026,2
0027,8
0028,3
0029,6
0030,5
0031,10
0032,4
0033,9
0034,14
0035,9
0036,7
0037,5
0038,8
0039,4
0040,3
0041,10
0042,13
0043,10
0044,5
0045,8
0046,6
0047,10
0048,4
0049,3
0051,11
0052,9
0053,6
0054,2
0055,10
0056,12
0057,5
0058,6
0059,4
0060,3
0061,5
0062,11
0063,12
0064,4
0065,6
0066,10
0067,5
0068,6
0069,8
0071,10
0072,7
0073,10
0074,8
0075,5
0076,3
0077,3
0078,3
0080,1
0081,7
0082,20
0083,6
0084,14
0085,12
0086,15
0087,11
0088,5
0089,2
0090,1
0091,6
0092,11
0093,9
0094,8
0095,2
0096,6
0097,5
0098,5
0099,4
0100,7
0101,3
0102,16
0103,16
0104,23
0105,6
0106,9
0107,5
0108,2
0109,3
0110,5
0111,10
0112,14
0113,2
0114,15
0115,7
0116,8
0117,7
0118,6
0119,5
0120,1
0121,5
0122,9
0123,18
0124,8
0125,5
0126,2
0127,11
0128,4
0129,3
0130,1
0131,6
0132,8
0133,12
0134,11
0135,10
0136,2
0137,4
0138,3
0139,7
0140,1
0141,3
0142,10
0143,13
0144,7
0145,9
0146,6
0147,5
0148,1
0149,1
0151,10
0152,11
0153,11
0154,9
0155,6
0156,10
0157,3
0158,6
0159,1
0160,1
0161,8
0162,15
0163,12
0164,16
0165,3
0166,4
0167,2
0168,3
0169,2
0171,7
0172,5
0173,3
0174,13
0175,2
0176,4
0177,4
0179,2
0181,7
0182,8
0183,4
0184,10
0185,5
0186,2
0187,5
0188,7
0189,2
0191,13
0192,7
0193,6
0194,5
0195,9
0197,1
0198,4
0200,3
0201,10
0202,9
0203,7
0204,10
0205,21
0206,9
0207,4
0208,3
0209,2
0211,8
0212,11
0213,10
0214,9
0215,6
0216,9
0217,4
0218,1
0220,1
0221,5
0222,6
0223,3
0224,12
0225,12
0226,7
0227,6
0228,2
0231,2
0232,12
0233,5
0234,4
0235,7
0236,5
0237,3
0238,3
0239,5
024,1
0241,5
0242,6
0243,10
0244,7
0245,10
0246,10
0247,6
0248,7
0249,2
0251,6
0252,7
0253,6
0254,6
0255,3
0256,4
0257,1
0258,4
0261,6
0262,7
0263,3
0264,4
0265,6
0266,8
0267,5
0268,2
0269,3
0271,6
0272,6
0273,6
0274,7
0275,10
0276,7
0277,6
0278,1
0279,1
0280,1
0281,2
0282,5
0283,5
0284,6
0285,3
0286,9
0287,1
0288,3
0290,1
0291,4
0292,6
0293,4
0294,9
0295,10
0296,5
0297,2
0298,3
0299,3
0301,2
0302,7
0303,4
0304,7
0305,4
0306,5
0307,4
0308,2
0309,7
0310,8
0311,6
0312,4
0313,3
0314,6
0315,3
0316,3
0317,3
0318,3
0321,5
0322,1
0323,18
0324,6
0325,5
0326,7
0327,2
0328,5
0329,3
0330,5
0331,11
0332,6
0333,3
0334,4
0335,4
0336,8
0337,11
0338,5
0339,1
0340,1
0342,4
0343,15
0344,4
0345,7
0346,3
0347,7
0348,4
0349,2
0351,7
0352,5
0353,10
0354,4
0355,4
0356,2
0357,4
0358,1
0360,1
0361,1
0362,7
0363,4
0364,11
0365,2
0366,15
