text_mail_address2,Count
,1985747
',3
---,2
# 100 Catlett Hall Room 741,1
# 1007,1
# 102,2
# 1141,1
# 12,1
# 164,1
# 173,1
# 1821,1
# 184,1
# 1848,1
# 196,1
# 2,1
# 208,2
# 214,1
# 223,1
# 22C,1
# 230,1
# 241,1
# 2452,1
# 29,1
# 293W,1
# 3,2
# 32,1
# 324,1
# 344,1
# 422,1
# 494,1
# 553,1
# 56,1
# 587,1
# 630,1
# 7081F,1
# 771043,1
# A,1
# Alpha Chi Omega,1
# D,1
# F10,1
# N106,1
# R,1
# Room 228D,1
# South Ellis 103,1
"#0894, Keefe Center",1
#1,3
#1-2 MAILBOX #5,1
#10,2
#1005,1
#101,1
#1011,1
#102,3
#103,1
#104,1
#105,1
#106,2
#11,3
#1104,1
#112 D,1
#113,1
#1152,1
#117,1
#118-180,1
#119,1
#12,1
#1202,1
#1204,1
#1221,1
#123,2
#1238 MASTERS COLLEG,1
#124,2
#125,1
#1289,1
#129,1
#12A,1
#131,1
#1312,1
#1320,1
#14,2
#1404C,1
#142,1
#1447,1
#146,1
#15,2
#153,1
#154390,1
#156,1
#1612,1
#165,1
#176,1
#186,1
#1905,1
#2,14
#200,2
#201,1
#202,3
#203,1
#204,4
#205,2
#207,2
#208,2
#2087,1
#209,1
#210,1
#211,1
#21225,1
#214,1
#215,1
#219,2
#22,3
#221,1
#223,1
#224,1
#225 SCHILLING,1
"#225, Goodnow Hall",1
#23,1
#234,1
#24,1
#2403,1
#257,1
#2586,1
#265,1
#276,1
#277,1
#286,1
#292,1
#3,6
#3-3106,1
#301,3
#301 STOUFFER PLACE,1
#3016,1
#301W GSP,1
#302,2
#304,1
#307,1
#308 SELLARDS,1
#312,1
#3127,1
#313,1
#317,1
#318,1
#321,3
#32250,1
#326.1,1
#33,1
#3308,2
#331,1
#3312,1
#342,1
#355,1
#363,1
#3670,1
#389,1
#39101,1
#3F,1
#4,4
#4-413A,1
#402,1
#403,1
#404,1
#408,1
#411,1
#415,1
#418,1
#4212B,1
#43,1
#438A,1
#49,2
#5,4
#503,1
#504,1
#534,1
#537,1
#5405,1
#543,1
#571,1
#6,3
#601,1
#603,1
#604,1
#60540,1
#606,1
#607,1
#608,1
#611A,1
#615 B,1
#616,1
#647,1
#70,1
#705,1
#70794,1
#715,1
#717,1
#740 Wefald Hall,1
#8,2
#8098,1
#8400,2
#9,2
#912,1
#92,1
#A,1
#A201,1
#A308,1
#B,3
#B-356,1
#B NE 15TH ST,1
#B10,1
#Box 140,1
#C103,1
#C304A,1
#CORBIN #717,1
#D,1
#D103,1
#D104,1
#E,2
#E-1,1
#Elland Hall Box 506,1
#F308,1
#G-244,2
#H179,1
#Haymaker 301,1
#J3,1
#KRE 206,1
#Opera 207,1
#Suite B. #176,1
#Wooster Apt. E13,1
% 1116 Caldwell Street,1
% 1205 Main,1
% 5002 Road 29,1
% Grafiti,1
% Kiowa District Manor,1
% P O Box 415,2
% P O Box 689,6
% P O Box 86,1
%2520 Commerce Road,1
%Pdc,1
(BEAVER),1
(cv-63)(,1
(ROOM#121) WEST HALL,1
.,1
],1
`,1
00196 Roma,1
00274,1
01,2
01370,1
014,1
0163,1
0331 B1,1
0423,1
05-14471,1
0633,1
"0706 Makati City, MM",1
0757,1
1,14
1-161 FA,1
1 CHAPIN WAY 6859,1
1 Mead Way,1
1 NORTH,1
1 South Elizabeth St,1
1 TSC G3 451 ESC,1
1/2,2
1/2 UPSTAIRS,1
10,4
10 Boxboro,1
10 Diaden Dr.,1
10 Post Rd,1
100 E Claflin Ave,1
100 E Claflin KWU Box 751,1
100 E. Claflin ave,1
100 Highway Ter,2
100 Mohawk St,1
100 Mohawn St,1
100 Pursley St,1
100 S SANTA FE AVE STE 200,1
100 Shoshone St,1
100 Shoshone St.,2
100 Wooten St.,1
1000 W. 14th Street,1
1000 Winnebago,1
1001 Winnebago Apt B,1
1001T,1
1002 E Kelson,1
1002 E Kelson Ave,1
1002 Main St,1
1002 N SUNSET DR,1
1002 Ponca Ave.,1
1002 WASHINGTON ST,1
10020 E GIRARD AVE,1
1003,1
1005 N SUMNER ST,1
1005 N Sunset Dr,1
1005 NSumner St,1
1006 N Main,1
1006 N Main St,1
1006 N Sunset Dr,2
1006 W. Edelle Ave.,1
1008 PINECREST,1
1009 Zuni Alley,1
101,4
101 Carson Ave. Apt. 5,1
101 Crow,1
"101 E Carson, Apartment 5",1
"101 E Carson, Apt 4",1
101 E. Carson Ave. Apartment # 5,1
101 HAYMAKER HALL,1
101 Murphy St,1
101 Murphy St.,1
101 S Wooten St.,1
101 Shawnee,1
101 Shawnee Ave. # B,1
101 Wooten,1
101 Wooten Apt. #4,1
101 Wooten St.,2
1010 E Kelson Ave,2
1010 W Edelle Lot 6,1
1011 RN Amsterdam,1
1012C,1
1014,1
1016,1
1016 W Edelle Ave,1
"10167 Encore Dr, Lot #28",1
10167 Encore Dr. Lot #28,1
102,3
102 E 9th St,1
102 E Carter,1
102 E Edelle Ave,1
102 E. Edelle Ave.,1
102 Murphy St,1
102 N Kelly,1
102 Nebraska Ave,1
1020 N 2nd St,1
1023-A,1
1027,1
1028 W.Edelle Ave.,1
102A,1
103 Murphy St,1
103 N Nott St,4
103 Pike St,1
103 Shawnee Ave.,1
104,4
104 B,1
104 Caddo,1
104 E Lansing,1
104 Murphy St,1
104 N Nott,1
104 PITTMAN,1
104 Pittman Building,1
104 Pursley St,1
104 S Main Street,1
104 Shoshone St,2
104 Shoshone St.,1
104 W 2ND ST,1
1048 Road 70,1
1048 ROAD 70,1
1049 Hwy 56,1
104N,1
105,5
105 E Hawes Ave,3
105 Hawes,1
105 Hawes Ave,1
105 MAIN ST,1
105 Murphy St,1
105 N Bridge St.,1
105 N Hamilton,2
105 N Hamilton St,1
105 N Murphy St,1
105 W Carspm,1
10507 SE CR 30,1
10594 W Briarwood Dr,2
106,3
106-C,1
106 E Comanche,1
106 E Manchester,1
106 E Manchester Ave,1
106 E Ogden,2
106 Kansas Ave,2
106 Murphy,1
106 N Lester St,1
106 S Main,1
106 W Edelle,1
106 W Edelle Ave,1
1065 COTTONWOOD ST,1
1065 COTTONWOOD STREET,1
107,2
107 1st St,1
107 Mohawk,1
107 Mohawk St,1
107 N Durffee,1
107 S Nott St,1
107 Wooten St,1
1070 Mt. Pleasant Rd.,1
1070 Road 170,3
1072 Road 170,1
1078 MS Amsterdam,1
108,1
108 1/2 N NOTT ST,1
108 E Vine St,1
108 N Florence,1
108 N Gates,1
108 N Lester,1
108 N Nott,1
108 N Roosevelt St,1
"108 Otoe St., Lot A",1
108 Pursley St.,1
108 S 3rd St,1
108 S Broadway,1
108 Shoshone St,2
108 Shoshone St.,1
108 W Ave F,1
108A,1
108B,2
109,4
109 Hawes,1
109 N Lester St,1
109 N Main St,1
109 Nebraska Ave,1
109 Pawnee,1
11,4
11-205,1
11 N Sumner,1
110,1
110 E OSAGE,1
110 E Pawnee,1
110 E. Pawnee,1
110 Elm St,1
110 Murphy St,1
110 N Hamilton,1
110 N Hamilton St,1
110 N Nott St,1
110 Shoshone,1
110 SPRUCE ST,1
110 W CLEVELAND,1
110 W CLEVELAND ST,1
110 W Vine St,1
110 West Vine St,1
1101,1
1101 E Francis,1
1101 Francis,1
1102 N Gates,1
1102 N Main St,1
1103,1
1103 N Pinecrest,2
1104,1
1104 Pinecrest,1
1104 PINECREST,1
1105,1
1105 GRETCHEN,1
1105 Maize Rd,1
11050 S Hwy 27,1
1107,1
1108 N Pinecrest,2
1108 Pinecrest,1
1108 W KINGMAN,1
110E,1
111,2
111 B Shawnee Ave,1
111 Fern Ave.,1
111 Maple Street,1
111 N Durffee St,1
111 N Johnson,1
111 N Lester St,1
111 N Shirley,1
111 Shirley St,1
111 W 4th St.,1
1111,1
1111 N Main St,1
1114 FLINT AVE,1
1116 D,1
1117,1
112,1
112 Otoe St.,1
11200 SE CR 31,2
11203,1
1121 Road LL,2
1122,1
1123 W University Avenue,1
113 EAST 10TH STREET,1
113 PLAZA AVE,1
113 W. Pawnee,1
11310 E 21st St N Suite G,1
1133,1
114,2
114 N Francis,1
1149 Road PP,3
114N,1
115 E. Park,1
115 Illinois Ave,2
115 MAPLE STREET,1
115 Nebraska Ave,1
115 Spruce St,1
1150 E Kelson Ave,1
1150 Road KK,2
1150 S FRANKLIN AVE,1
1154 Road RR,1
1155 Cottonwood St,1
11558 BOLLER RD,1
116,1
116 W 2nd Ave,1
1161 E Ave A,1
117,1
117 HARRINGTON RD,1
117 Mohawk,1
117 Mohawk St.,2
1175,1
11751 S TOPEKA BLVD,1
118-120,1
118-128,1
118 N Nott St,1
11800 W Hwy 50,1
