text_mail_zip5,Count
,1854812
.,1
],1
`,1
0,1
0012,1
00152,1
0043,1
00803,1
00830,1
0085,1
00918,1
00961,1
01002,3
01003,1
01020,1
01022,1
01027,1
01063,2
01075,3
01105,1
01235,1
01267,1
0157,1
01606,1
01609,1
01701,1
01731,1
01745,1
01748,1
01752,1
01827,1
01879,1
01901,1
01984,1
02035,1
02109,1
02112,1
02113,1
02114,1
02115,6
02116,1
02118,1
02119,2
02120,4
02124,1
02125,2
02130,3
02134,4
02135,4
02136,1
02138,10
02139,9
02141,2
02143,4
02144,4
02155,3
02170,2
02210,1
02215,10
02302,1
02346,2
02360,1
02445,2
02451,2
02453,1
02457,2
02459,1
02465,1
02467,7
02481,1
02492,1
02540,1
02649,1
02721,1
02809,1
02840,2
02841,1
02842,1
02864,1
02903,1
02905,1
02906,3
02908,1
02909,2
02912,3
02918,1
03052,1
03103,1
03104,1
03246,1
03263,1
03287,1
0342,1
03755,1
03801,1
03802,1
03820,1
03841,1
04011,1
04057,1
04072,1
04276,1
04429,1
04468,1
04473,1
0453,1
04654,1
04658,1
0466,1
04769,1
0487,1
05068,1
05401,1
05403,1
05405,3
05661,1
05701,1
05733,1
05753,2
05770,1
06095,1
06106,1
06119,2
06248,1
06339,1
06340,6
06370,2
06385,1
06405,1
06437,1
06457,1
06460,1
06492,1
06511,8
06512,1
06520,2
06783,1
06890,1
06901,1
07002,1
07030,4
07040,1
07052,1
07071,1
07079,2
07093,1
07102,1
07302,1
07304,1
07306,1
07502,1
07626,1
07746,1
07762,1
07826,1
07832,1
07940,1
08007,1
08015,1
08016,1
08053,2
08060,3
08068,1
08070,1
08079,1
08201,1
0821,1
08260,2
08302,1
08515,1
08520,1
08544,1
08618,1
08619,1
08641,5
08648,1
08709,1
08733,1
08753,1
08854,1
08859,1
08865,1
08873,3
08876,1
08904,1
09009,4
09012,10
09015,1
09021,2
09034,2
09046,2
09075,1
09096,14
09098,1
09102,1
09112,4
09114,10
09123,3
09126,1
09142,5
09173,1
09180,3
09182,1
09227,3
09250,2
09305,1
09309,2
09338,1
09354,1
09363,1
09366,2
09382,1
09392,1
09393,2
09459,5
09464,3
09469,1
09522,1
09603,2
09606,3
09613,1
09618,1
09627,1
09630,3
09705,1
09712,1
09722,1
09724,1
09751,1
09752,2
09761,1
09777,1
09803,2
09824,1
09832,1
09898,2
10001,6
10002,9
10003,7
10009,12
10010,5
10011,3
10012,5
10013,1
10014,5
10016,4
10017,3
10018,3
10019,1
10021,3
10022,4
10023,3
10024,4
10025,7
10026,1
10027,6
10028,1
10029,2
10030,3
10031,4
10032,8
10033,1
10034,1
10036,2
10038,4
10040,1
10065,2
10075,2
10128,3
10305,1
10310,1
10453,1
10463,1
10543,1
10577,2
10708,1
10996,1
10997,10
11024,3
11101,2
11103,2
11105,1
11109,1
11201,3
11205,1
11206,5
11207,3
11209,1
11211,3
11213,1
11215,6
11216,7
11217,1
11221,11
11222,4
11223,1
11225,4
11226,3
11229,1
11233,1
11237,4
11238,9
11375,1
11377,3
11385,2
11415,1
11429,1
11435,1
11439,3
11530,1
11548,1
11691,1
11720,1
11787,1
11790,2
11798,1
11941,1
12020,1
12065,1
12180,3
12208,1
1225,1
12345,1
12538,3
12540,1
12550,1
12553,1
12604,3
12983,1
13021,2
13039,1
13045,1
13078,1
13126,2
13164,1
13206,1
13210,4
13346,1
13601,3
13602,3
13603,9
13607,1
13616,1
13637,2
13642,1
13648,1
13662,1
13820,1
13904,1
13905,1
14092,1
14606,1
14611,1
14619,2
14620,2
14623,2
14624,1
14627,2
14802,1
14845,1
14850,4
14853,1
15005,1
15010,1
15025,1
15143,1
15217,2
15222,1
15233,1
15238,1
15289,3
15417,1
15905,1
16127,2
16347,1
16406,1
16433,1
16510,1
16546,2
16609,1
16801,4
16933,1
17004,2
17015,1
17040,1
17046,1
17065,1
17102,2
17201,1
17311,2
17402,1
17602,1
17752,1
17972,1
18018,1
18042,1
18071,1
18103,2
18444,1
18509,1
18626,1
18711,1
18840,1
18963,1
18969,1
19004,1
19013,1
19038,1
19081,1
19083,1
19085,2
19095,1
19102,1
19103,1
19104,1
19122,1
19123,1
19125,1
19130,1
19140,2
19145,1
19148,1
19320,1
19355,1
19363,1
19390,1
19406,1
19454,1
19464,1
19565,1
19735,1
19801,1
19806,1
19808,1
19901,3
19904,1
19943,1
19947,1
19962,1
19977,1
20001,8
20002,13
20003,7
20005,2
20007,5
20008,3
20009,12
20010,3
20011,3
20012,1
20015,1
20016,5
20017,4
20024,3
20037,2
20052,3
20057,9
20059,1
20115,1
20132,1
20142,1
20147,1
20148,1
20151,1
20155,1
20171,1
20177,1
20189,8
20373,1
2049,1
20601,1
20603,3
20613,1
20616,1
20619,2
20639,2
20640,1
20646,2
20653,1
20708,1
20714,2
20719,1
20720,1
20722,1
20740,5
20744,1
20755,8
20762,7
20763,1
20774,2
20778,1
20782,2
20785,1
20814,2
20815,1
20850,3
20852,1
20854,1
20879,2
20880,1
20895,2
20910,2
21001,2
21005,2
21015,1
21035,1
21044,2
21045,1
21047,1
21060,1
21061,1
21085,1
21104,2
21108,2
21113,1
21114,2
21122,1
2114,1
21144,2
21157,1
21158,1
21201,1
21202,3
21205,2
21207,1
21209,1
21211,1
21218,3
21220,1
21222,1
21224,2
21227,1
21228,1
21231,2
21236,1
21401,4
21403,1
21409,2
21412,10
21620,1
21701,1
21702,1
21703,1
21704,1
21710,2
21727,1
21740,1
21770,1
21774,1
21864,1
21869,2
22003,3
22015,2
22025,3
22030,3
22031,2
22032,1
22033,2
22041,2
22042,1
22044,2
22060,6
22079,5
22101,1
22102,1
22125,1
22134,6
22152,2
22153,2
22172,1
22191,6
22192,1
22193,3
22201,3
22202,3
22203,1
22207,5
22209,2
22302,2
22303,5
22304,5
22305,2
22306,1
22308,1
22310,1
22312,1
22314,6
22315,2
22401,2
22443,1
22448,1
22554,6
22555,1
22556,2
22630,3
22712,1
22718,2
22801,1
22802,5
22903,5
22904,1
22923,1
22963,1
23061,1
23072,1
23150,1
23173,1
23185,8
23187,1
23188,2
23219,1
23220,1
23221,1
23223,1
23225,2
23230,1
23235,1
23320,2
23322,4
23323,7
23324,1
23325,1
23434,5
23435,1
23451,2
23452,3
23453,2
23454,3
23455,6
23456,8
23457,1
23462,5
23464,7
23465,1
23502,2
23503,5
23505,5
23508,2
23510,1
23513,6
23518,3
23601,1
23602,5
23604,1
23605,1
23606,1
23661,2
23662,2
23663,1
23665,7
23666,2
23668,1
23669,4
23692,1
23693,1
23703,4
23704,3
23707,2
23708,2
23801,6
23836,1
23839,1
23860,1
23872,1
23875,1
23936,4
24060,2
24126,1
24202,1
24221,1
24343,1
24382,1
24416,4
