date_of_registration,Count
01/01/1800,9
01/01/1801,8
01/01/1901,197
01/01/1903,1
01/01/1950,1
01/01/1955,1
01/01/1960,59
01/01/1965,1
01/01/1969,1
01/01/1970,1
01/01/1972,147
01/01/1973,27
01/01/1974,89
01/01/1976,3
01/01/1977,3
01/01/1978,1
01/01/1979,1
01/01/1980,3
01/01/1982,2
01/01/1983,4
01/01/1984,6
01/01/1985,7
01/01/1986,2
01/01/1987,2
01/01/1988,7
01/01/1989,9
01/01/1990,7
01/01/1991,11
01/01/1992,7
01/01/1993,7
01/01/1994,10
01/01/1995,31
01/01/1996,44
01/01/1997,16
01/01/1998,12
01/01/1999,12
01/01/2000,6
01/01/2001,5
01/01/2002,4
01/01/2003,7
01/01/2004,14
01/01/2005,1
01/01/2006,2
01/01/2007,1
01/01/2008,6
01/01/2009,2
01/01/2010,2
01/01/2011,6
01/01/2012,4
01/01/2013,2
01/01/2014,7
01/01/2015,12
01/01/2016,16
01/01/2017,1
01/01/2018,1
01/01/2019,2
01/01/2020,10
01/01/2021,4
01/01/2022,60
01/01/2023,3
01/01/2024,3
01/01/2025,11
01/02/1963,1
01/02/1974,3
01/02/1975,1
01/02/1976,4
01/02/1978,1
01/02/1979,2
01/02/1980,10
01/02/1981,4
01/02/1983,1
01/02/1984,3
01/02/1985,9
01/02/1986,4
01/02/1987,10
01/02/1988,2
01/02/1989,14
01/02/1990,17
01/02/1991,37
01/02/1992,20
01/02/1993,6
01/02/1995,20
01/02/1996,97
01/02/1997,70
01/02/1998,123
01/02/1999,7
01/02/2000,3
01/02/2001,65
01/02/2002,76
01/02/2003,98
01/02/2004,73
01/02/2005,1
01/02/2006,3
01/02/2007,12
01/02/2008,83
01/02/2009,122
01/02/2010,2
01/02/2011,6
01/02/2012,19
01/02/2013,97
01/02/2014,134
01/02/2015,146
01/02/2016,6
01/02/2017,2
01/02/2018,254
01/02/2019,322
01/02/2020,490
01/02/2021,8
01/02/2022,52
01/02/2023,2
01/02/2024,545
01/02/2025,289
01/03/1966,1
01/03/1967,1
01/03/1971,1
01/03/1972,37
01/03/1974,5
01/03/1975,1
01/03/1978,3
01/03/1979,5
01/03/1980,12
01/03/1983,15
01/03/1984,17
01/03/1985,7
01/03/1986,4
01/03/1987,7
01/03/1988,1
01/03/1989,33
01/03/1990,16
01/03/1991,49
01/03/1992,32
01/03/1993,4
01/03/1994,21
01/03/1995,158
01/03/1996,97
01/03/1997,99
01/03/1998,9
01/03/1999,7
01/03/2000,32
01/03/2001,37
01/03/2002,82
01/03/2003,88
01/03/2004,2
01/03/2005,57
01/03/2006,73
01/03/2007,69
01/03/2008,98
01/03/2009,6
01/03/2010,2
01/03/2011,91
01/03/2012,213
01/03/2013,85
01/03/2014,89
01/03/2015,2
01/03/2016,2
01/03/2017,250
01/03/2018,181
01/03/2019,268
01/03/2020,195
01/03/2021,8
01/03/2022,470
01/03/2023,450
01/03/2024,207
01/03/2025,249
01/04/1956,1
01/04/1964,1
01/04/1966,1
01/04/1969,1
01/04/1971,3
01/04/1972,39
01/04/1973,1
01/04/1974,2
01/04/1977,1
01/04/1978,3
01/04/1979,1
01/04/1980,10
01/04/1982,6
01/04/1983,9
01/04/1984,9
01/04/1985,18
01/04/1986,1
01/04/1987,2
01/04/1988,17
01/04/1989,23
01/04/1990,13
01/04/1991,36
01/04/1992,10
01/04/1993,22
01/04/1994,17
01/04/1995,113
01/04/1996,75
01/04/1997,5
01/04/1998,13
01/04/1999,15
01/04/2000,92
01/04/2001,48
01/04/2002,61
01/04/2003,6
01/04/2004,5
01/04/2005,65
01/04/2006,78
01/04/2007,59
01/04/2008,130
01/04/2009,5
01/04/2010,111
01/04/2011,111
01/04/2012,205
01/04/2013,80
01/04/2014,1
01/04/2015,2
01/04/2016,314
01/04/2017,89
01/04/2018,138
01/04/2019,257
01/04/2020,11
01/04/2021,425
01/04/2022,197
01/04/2023,223
01/04/2024,331
01/04/2025,4
01/05/1952,1
01/05/1967,2
01/05/1971,1
01/05/1972,36
01/05/1976,6
01/05/1978,9
01/05/1979,1
01/05/1980,3
01/05/1981,1
01/05/1982,3
01/05/1983,11
01/05/1984,8
01/05/1985,13
01/05/1987,22
01/05/1988,22
01/05/1989,19
01/05/1990,9
01/05/1991,10
01/05/1992,1
01/05/1993,22
01/05/1994,31
01/05/1995,132
01/05/1996,78
01/05/1997,2
01/05/1998,63
01/05/1999,111
01/05/2000,141
01/05/2001,62
01/05/2002,8
01/05/2003,10
01/05/2004,81
01/05/2005,31
01/05/2006,114
01/05/2007,76
01/05/2008,8
01/05/2009,84
01/05/2010,112
01/05/2011,95
01/05/2012,197
01/05/2013,5
01/05/2014,2
01/05/2015,136
01/05/2016,163
01/05/2017,118
01/05/2018,192
01/05/2019,4
01/05/2020,14
01/05/2021,440
01/05/2022,229
01/05/2023,255
01/05/2024,307
01/05/2025,6
01/06/1964,1
01/06/1966,1
01/06/1967,1
01/06/1970,2
01/06/1972,49
01/06/1973,1
01/06/1975,3
01/06/1976,7
01/06/1978,5
01/06/1981,3
01/06/1982,6
01/06/1983,14
01/06/1984,10
01/06/1985,4
01/06/1986,5
01/06/1987,23
01/06/1988,33
01/06/1989,25
01/06/1990,3
01/06/1991,8
01/06/1992,24
01/06/1993,29
