polling_place_text_name,Count
,82
-wilson County Courthouse - Townships,1046
01 Lawrence-Douglas County Health Department,782
01/02 McKenzie Center,1580
02/03/07 Carnegie Building,2357
03/04 Carver Center,1437
04/05/42 Doubletree Hotel - Convention Center,2723
05 St Johns Msn Bapt Ch,1781
06 First Presbyterian Ch,1028
06/13 American Legion,2155
07/08 Kenwood Hall,2590
08/40 Trinity Lutheran Church,1816
09/21 University Community of Christ Church,1262
1 Fairgrounds. -Pct. 4 & 5,2056
10 Burge Union,350
10 Fairgrounds - Pct. 23 & 23 Ex,1578
10 VFW Building,1681
11 Christ Covenant Reformed Presbyterian Church,893
11 Fairgrounds - Pct. 24 & 25,1764
11/12/13 Trinity Lutheran Ch Hl,1370
"12 Fairgrounds - Pct. 26, 26 Ex & 29",1163
12/23/24 First Baptist Church,3105
12th Street Community Center,4203
13 Fairgrounds - Pct. 30 & 31,1167
"14 Fairgrounds - Pct. 32, 33 & 35",800
14 First Baptist Church,974
14/17 First Presbyterian Church,3528
"15 Fairgrounds - Pct. 1, 2 & 3",1573
15 Immanuel Lutheran Church,1344
15/21/22 First Ch of the Nazarene,2366
151st Street Church of Christ,3466
16- Fairgrounds- Pct. 27 & Clay North,1397
16/27 First Covenant Ch,1527
16/46 Arterra Event Gallery,3371
17 Church of the Cross,2519
18/19/20 St Mary's Parish Center,3396
18/48 Rev City Church,3245
19 Brandon Woods - Smith Center,1312
1st Baptist Church,1090
1st Southern Baptist,1064
"2 Fairgrounds - Pct. 6, 7 & 8",1938
20/71 First Southern Baptist Church,3693
22/76 Connect Church,1497
23 Ray Avenue Baptist Ch,1378
24/28/29 Trinity United Meth Ch,2083
24th District Courthouse,1956
25/26 Central United Methodist Church,1597
25/26 Redeemer Lutheran Ch,1719
27/28 Redemption Hill Church,1678
29 Checkers Food Store,852
3 Fairgrounds - Pct. 9 & 10,2061
30/31 Sa Area Tech College,1598
30/32 Dg Co Human Services Building,2005
31 Southside Church of Christ,1115
33 Vintage Church,846
34 Haskell Light,690
35 E. Lawrence Rec Center,1183
36/37/38/77 Flory Meeting Hall - Fairgrounds,4852
38/65 Cornerstone Community Church,484
39 Cider Gallery,1058
4-H Building-Highland 2-08.01/08.05,84
4-H Building-Sandcreek-10.4/10.06,20
4-H Building-Solomon 1-10.3/10.7,43
4-H Building-Solomon 2-11.01/11.02,35
4-h Building Belle Plain 10.01/10.02,25
4-H Building City,2602
4-H Building Rural,4041
4-H Building Ward 1.1,624
4-H Building Ward 2.2,683
4-H Building Ward 3.2,663
4 Fairgrounds - Pct. 11 & 12,1765
"4 H Building, Sheridan Co",1536
41 Lawrence Union Pacific Depot (Visitor Center),1749
43/70 Theatre Lawrence,2401
44/64 Lawrence Heights Church,1414
45/49 St Margaret's Episcopal Church,3877
47 Good Shepherd Lutheran Church,682
4H Community Building,956
4H/Senior Citizens Center,2236
5 Fairgrounds - Pct. 13 & 14,1557
50/54 Eudora Community Center,3051
51 Clinton Presbyterian Church,589
52 Eudora City Hall,746
53 Eudora Baptist Church,1714
55 Grant Twp Comm Center,308
56 Kanwaka Twp Hall,1309
57/58 Lecompton Community Building,1263
59 Marion Twp Hall,689
6 Fairgrounds - Pct. 15 & 16,1706
60/62 Lumberyard Arts Center,2761
61 Lighthouse Baptist Church,1694
63 Vinland Valley Community Church,1005
66/69 1st Church of the Nazarene,1585
67 Willow Springs Twp Hall,1261
7 Fairgrounds - Pct. 17 & 18,1337
74 Sports Pavilion Lawrence,3031
8 Fairgrounds - Pct. 19 & 20,1389
9 Fairgrounds - Pct. 21 & 22,2624
920 Building,836
Abbyville Community Center,128
Abdallah Shriners,1381
AbilityPoint,4808
Admin Bldg Fair Grounds,2204
Advent Lutheran Church,3555
Agra Library,340
Air Terminal,1676
Aldersgate United Methodist Church,2080
Alexandria Twp Fire Stat.,686
Alford Library,2746
Alma Community Center,1518
Almena Community Center,353
"Almena Community Center-Harrison-04.10,04.11",9
Alvin E Morris Admin Center,3396
American Legion 153 of Olathe,2184
American Legion 370 of Overland Park,2033
American Legion Building,163
"American Legion Hall, Glen Eld",386
Andale High School,1469
Anderson Co Annex,868
Anderson County Community Bldg,2179
Andover St. Vincent's,6230
Annunciation Cigna Center,1039
Antioch Church,2972
Arcadia Community Center,338
Argonia Community Bldg,768
Arlington Community Center,530
Arts and Heritage Center,9402
Asbury United Methodist Church,6184
Ascend Church,6333
Ascension Lutheran,2825
Ashland City Library,914
Ashland Community Center,131
Atonement Lutheran Church,2912
"Attica Memorial Bldg.(Attica, Twp1)",578
Atwater Community Center,2011
Auburn Civic Ctr,1579
Auburn Comm Ctr,781
Augusta 1st United Methodist,4525
Augusta First Baptist,5084
Axtell American Legion,566
Barber County Ambulance Building,927
Barber County Annex Building,1954
Barnes Fire House,273
Basehor United Methodist Church,2132
Bel Aire City Building,2994
Bel Aire Rec Center,4081
Belle Plaine Community Center,2539
Belpre Community Bldg,157
Bennington Fire/EMS Station,1067
Bentley Senior Center,841
Berean Baptist,3051
Bern Comm Bldg - Bern City,126
Bern Comm Bldg - Gilman,116
Bern Comm Bldg - Nemaha,105
Bern Comm Bldg - Oneida City,33
Bern Comm Bldg - Washington,184
Berryton UMC,1618
Bethany Church of the Nazarene,956
Bethany Community Center,4349
Bethany Cottages,607
Bethel Baptist Ch,842
Bethel Comm Ch,570
