polling_place_text_zip5,Count
,15307
66002,9666
66006,6721
66007,9557
66010,349
66012,5260
66013,3552
66014,360
66015,525
66016,445
66017,580
66018,5857
66020,3082
66021,1968
66023,690
66024,735
66025,5511
66026,451
66030,10825
66031,6288
66032,3047
66033,730
66035,796
66036,1138
66039,492
66040,2863
66041,634
66042,484
66043,8123
66044,16850
66046,13261
66047,10979
66048,23576
66049,26467
66050,1263
66052,3581
66053,6321
66054,1329
66056,1669
66058,589
66060,615
66061,44947
66062,57974
66064,4188
66066,1521
66067,12539
66070,1988
66071,9991
66072,721
66073,1837
66075,1444
66076,1376
66078,602
66079,626
66080,560
66083,9434
66085,7850
66086,8731
66087,1299
66088,1318
66090,1518
66091,600
66092,2294
66093,450
66094,163
66095,950
66097,837
66101,2964
66102,14561
66103,5634
66104,13924
66105,3349
66106,14563
66109,15693
66111,3081
66112,13498
66202,19145
66203,14414
66204,11179
66205,9795
66206,8788
66207,13964
66208,13572
66209,5690
66210,14942
66211,6303
66212,30841
66213,23822
66214,3641
66215,16435
66216,12713
66217,11495
66218,5516
66219,13933
66221,14448
66223,17936
66224,21598
66226,15333
66227,10879
66402,2360
66403,566
66404,496
66406,323
66408,564
66409,1618
66411,1412
66413,1504
66414,1864
66415,509
66416,382
66417,399
66418,520
66419,441
66420,821
66425,1280
66427,1039
66428,279
66429,1057
66431,423
66434,3086
66436,3562
66439,1848
66440,1739
66441,19735
66449,554
66451,1865
66501,265
66502,28373
66503,9443
66507,899
66508,3628
66509,1787
66510,1283
66512,2745
66514,1327
66516,268
66517,2993
66520,680
66521,1281
66523,2896
66524,3042
66526,765
66531,843
66532,508
66533,1228
66534,2447
66535,3257
66536,3063
66537,847
66538,2328
66539,2668
66540,393
66541,247
66542,3596
66546,732
66547,5175
66549,1263
66550,366
66552,378
66554,906
66603,1428
66604,15422
66605,13799
66606,7167
66607,2522
66608,3771
66609,2913
66610,2726
66611,7750
66612,2313
66614,19386
66615,4778
66616,3261
66617,6447
66618,5779
66619,1676
66621,1227
66701,9388
66710,1069
66711,338
66712,3099
66713,3579
66716,277
66720,7786
66724,829
66725,4317
66733,1223
66734,434
66736,2194
66738,655
66739,3338
66740,698
66742,1289
66743,3179
66746,355
66748,2081
66749,4648
66753,574
66754,455
66755,979
66757,1771
66762,16160
66763,3004
66767,366
66769,1349
66770,2132
66771,856
66773,1135
66775,284
66776,859
66777,368
66779,627
66781,1157
66783,1856
66801,16321
66830,356
66833,331
66835,993
66839,2800
66840,250
66842,432
66845,1873
66846,2389
66849,458
66851,423
66852,678
66853,409
66854,523
66857,810
66858,541
66860,845
66861,2223
66864,748
66865,874
66866,986
66868,303
66871,801
66872,643
66901,3944
66933,273
66935,1785
66936,418
66937,570
66938,647
66939,540
66940,392
66944,225
66945,762
66948,248
66949,677
66951,617
66952,402
66953,623
66956,1089
66959,332
66966,492
66967,1524
66968,1398
67001,1469
67002,13513
67003,1905
67004,768
67005,8797
67008,370
67009,578
67010,9609
67013,2539
67016,841
67017,2250
67019,621
67020,1523
67022,1109
67025,2427
67026,3357
67029,653
67030,1820
67031,1868
67035,566
67037,21754
67038,402
67039,1680
67042,10377
67045,2668
67050,1541
67051,229
67052,4834
67053,1029
67054,721
67056,1813
67058,1386
67059,563
67060,10007
67062,3109
67063,2395
67067,2909
67068,2856
67070,927
67074,1146
67101,5010
67103,207
67104,1954
67107,1873
67108,1190
67109,256
67110,5701
67111,907
67114,13940
67117,1332
67118,745
67119,1058
67120,612
67124,5748
67127,421
67132,445
67133,5998
67135,1176
67137,701
67140,559
67144,2384
67146,1431
67147,6270
67149,3177
67151,648
67152,6948
67154,1738
67155,53
67156,8890
67159,523
67203,16523
67204,14175
67205,19956
67206,25246
67207,12564
67208,9718
67209,8446
67210,7385
67211,14790
67212,25337
67213,15432
67214,10085
67215,3797
67216,8427
67217,21169
67218,8381
67219,8756
67220,10862
67226,11976
67230,6369
67235,12120
67301,7689
67330,1090
67333,1257
67335,1910
67336,1199
67337,6169
67340,1120
67342,970
67344,399
67347,445
67349,825
67351,381
67352,477
67353,576
67354,1033
67356,1447
67357,7979
67363,873
67364,874
67366,263
67401,34234
67410,5651
67416,791
67417,204
67420,3171
67422,1067
67425,365
67427,296
67428,735
67430,386
67431,1927
67432,4549
67436,386
67437,795
67439,2125
67441,989
67442,227
67443,890
67444,304
67445,425
67446,386
67448,1460
67449,2300
67450,398
67451,429
67452,114
67454,550
67455,1598
67456,3337
67457,653
67459,91
67460,10495
67464,593
67466,421
67467,2049
67470,424
67473,1367
67476,268
67480,1384
67481,528
67482,990
67483,453
67484,439
67485,218
67487,1303
67490,659
67491,126
67492,357
67501,1456
67502,31359
67505,2336
67510,128
67514,530
67519,157
67520,323
67522,1338
67524,567
67525,915
67526,1916
67529,159
67530,11337
67543,1212
67544,2833
67546,1718
67547,1099
67548,1216
67550,3388
67552,432
67554,2666
67556,312
67560,1956
67561,766
67563,189
67565,376
67566,321
67568,166
67570,867
67574,160
67576,2668
67579,2363
67581,231
67583,461
67585,408
67601,14291
67621,340
67622,362
67623,194
67626,401
67632,151
67635,113
67637,1883
67638,304
67640,392
67642,1816
67643,133
67644,163
67645,298
67646,456
67647,207
67648,284
67651,285
67653,161
67654,2802
67657,260
67661,2676
67663,1803
67664,189
67665,3141
67669,1490
67671,1357
67672,2058
67673,349
67701,5445
67731,488
67735,3754
67736,274
67737,479
67738,343
67740,1536
67749,1629
67752,836
67757,298
67758,1119
67801,14890
67831,914
67834,682
67835,2559
67838,531
67839,968
67842,232
67844,563
67846,19164
67849,375
67850,170
67851,1726
67854,917
67855,1070
67859,390
67860,1710
67861,1230
67864,1457
67865,656
67867,840
67869,1003
67870,872
67871,3511
67876,998
67877,1340
67878,1350
67879,897
67880,3818
67901,10936
67950,1638
67951,3003
67952,369
67954,392
