district_kr,Count
KR0001,18771
KR0002,17786
KR0003,16160
KR0004,19802
KR0005,17638
KR0006,17582
KR0007,16337
KR0008,17482
KR0009,17037
KR0010,14532
KR0011,15411
KR0012,16859
KR0013,15332
KR0014,19358
KR0015,12086
KR0016,18198
KR0017,18375
KR0018,17689
KR0019,20280
KR0020,20350
KR0021,19066
KR0022,16342
KR0023,15934
KR0024,16755
KR0025,20081
KR0026,19679
KR0027,18953
KR0028,17672
KR0029,17547
KR0030,16222
KR0031,12522
KR0032,8813
KR0033,15513
KR0034,11096
KR0035,13052
KR0036,17117
KR0037,13045
KR0038,18991
KR0039,17732
KR0040,16094
KR0041,12462
KR0042,17480
KR0043,15590
KR0044,17459
KR0045,18493
KR0046,12068
KR0047,17723
KR0048,18870
KR0049,17553
KR0050,17068
KR0051,16863
KR0052,17701
KR0053,15485
KR0054,16793
KR0055,13857
KR0056,15766
KR0057,12040
KR0058,12868
KR0059,17137
KR0060,13978
KR0061,15963
KR0062,16600
KR0063,17115
KR0064,13991
KR0065,14332
KR0066,10613
KR0067,16180
KR0068,13026
KR0069,15811
KR0070,17226
KR0071,17729
KR0072,15721
KR0073,15271
KR0074,15363
KR0075,16255
KR0076,17540
KR0077,18020
KR0078,17052
KR0079,15907
KR0080,14996
KR0081,13571
KR0082,16791
KR0083,13526
KR0084,14289
KR0085,18458
KR0086,13085
KR0087,17396
KR0088,15759
KR0089,15133
KR0090,17700
KR0091,18537
KR0092,14985
KR0093,16457
KR0094,17119
KR0095,12675
KR0096,12246
KR0097,15008
KR0098,13367
KR0099,18697
KR0100,17743
KR0101,17875
KR0102,14863
KR0103,10319
KR0104,17745
KR0105,15329
KR0106,16585
KR0107,16516
KR0108,17820
KR0109,16079
KR0110,16904
KR0111,16653
KR0112,14900
KR0113,16729
KR0114,16533
KR0115,15402
KR0116,16342
KR0117,19746
KR0118,16510
KR0119,10280
KR0120,16388
KR0121,16746
KR0122,12284
KR0123,12975
KR0124,13852
KR0125,12258
