precinct,Count
Allen|Bassett City|1B,22
Allen|Carlyle Twp|A1,238
Allen|Cottage Grove Twp|A2,168
Allen|Deer Creek Twp|A3,89
Allen|East Elm Twp|A4,139
Allen|Elsmore City|2E,42
Allen|Gas City|3G,342
Allen|Geneva Twp|A6,104
Allen|Humboldt City|4H,1332
Allen|Humboldt Twp|A7,222
Allen|Iola City|5I,3667
Allen|LaHarpe City|6L,307
Allen|Logan Twp|A9,168
Allen|Marmaton Twp|B1,208
Allen|Moran City|8M,315
Allen|North Elsmore Twp|A5,98
Allen|North Iola Twp|A8,202
Allen|Osage Twp|B2,195
Allen|Salem Twp|B3,191
Allen|Savonburg City|9S,60
Allen|South Elsmore Twp|C5,61
Allen|South Iola Twp|C8,415
Allen|West Elm Twp|C4,412
Anderson|Colony City|1101,292
Anderson|Garnett City Prec. 1|2201,856
Anderson|Garnett City Prec. 2|2202,713
Anderson|Garnett City Prec. 3|2203,662
Anderson|Garnett City Prec. 4|2204,206
Anderson|Greeley City|3301,200
Anderson|Indian Creek Twp|IN800,105
Anderson|Jackson Twp|JA900,343
Anderson|Kincaid City|5501,94
Anderson|Lincoln Twp|LIA00,163
Anderson|Lone Elm City|6601,18
Anderson|Lone Elm Twp|LO602,172
Anderson|Monroe Twp|MOB00,267
Anderson|Ozark Twp|OZ102,128
Anderson|Putnam Twp|PUD00,237
Anderson|Reeder Twp|RE402,215
Anderson|Rich Twp|RI502,208
Anderson|Walker Twp|WA302,293
Anderson|Washington Twp|WSF00,218
Anderson|Welda Twp|WEG00,219
Anderson|Westphalia City|7701,92
Anderson|Westphalia Twp|WT702,143
Atchison|Benton 2|A1,177
Atchison|Benton|A1063,161
Atchison|Center|A2,445
Atchison|East Second|120003,554
Atchison|East Third|130003,1162
Atchison|Effingham City|2,352
Atchison|Grasshopper|A3,282
Atchison|Huron City|3,46
Atchison|Huron|A500009,128
Atchison|Kapioma|A4,195
Atchison|Lancaster City|4,203
Atchison|Lancaster|A50001,257
Atchison|Mt. Pleasant|A6,727
Atchison|Muscotah City|5,112
Atchison|North Fifth|150001,1183
