BirthYear,Count
1054,1
1800,1
1801,4
1891,1
1900,7
1901,13
1902,1
1903,1
1904,2
1905,1
1906,1
1907,3
1908,5
1909,2
1910,3
1911,4
1912,7
1913,12
1914,11
1915,8
1916,19
1917,26
1918,31
1919,68
1920,70
1921,121
1922,155
1923,239
1924,322
1925,473
1926,615
1927,944
1928,1247
1929,1583
1930,2040
1931,2609
1932,3100
1933,3633
1934,4463
1935,5069
1936,6007
1937,6750
1938,7765
1939,8335
1940,9355
1941,10844
1942,12522
1943,13784
1944,14215
1945,14668
1946,18485
1947,21849
1948,21789
1949,23063
1950,23685
1951,26037
1952,27535
1953,28412
1954,29880
1955,30504
1956,31858
1957,32275
1958,32171
1959,33250
1960,33453
1961,33562
1962,33220
1963,32668
1964,31297
1965,29295
1966,28072
1967,27489
1968,28051
1969,29705
1970,30517
1971,29152
1972,27480
1973,26818
1974,27609
1975,27750
1976,28532
1977,29776
1978,29617
1979,31454
1980,33285
1981,33337
1982,33805
1983,33120
1984,33592
1985,33739
1986,33463
1987,32820
1988,33610
1989,33977
1990,34950
1991,33881
1992,33996
1993,33521
1994,34018
1995,33870
1996,33937
1997,33787
1998,35178
1999,34296
2000,35377
2001,34546
2002,33836
2003,32141
2004,29541
2005,26467
2006,23273
2007,2598
