Age,Count
18,1787
19,21796
20,26424
21,29105
22,31983
23,33819
24,34193
25,35427
26,34502
27,35106
28,33893
29,33922
30,33872
31,34006
32,33585
33,33990
34,33820
35,34859
36,34066
37,33631
38,32855
39,33424
40,33893
41,33559
42,33003
43,33835
44,33272
45,33384
46,31515
47,29822
48,29829
49,28519
50,27857
51,27715
52,26767
53,27370
54,28913
55,30671
56,29636
57,28369
58,27397
59,28126
60,28981
61,31246
62,32570
63,33121
64,33484
65,33661
66,33153
67,32201
68,32391
69,31849
70,30529
71,30077
72,28453
73,27717
74,26135
75,23914
76,23065
77,21836
78,21686
79,19340
80,14611
81,14237
82,13806
83,12774
84,10970
85,9494
86,8385
87,7837
88,6894
89,6097
90,5083
91,4569
92,3675
93,3145
94,2641
95,2114
96,1616
97,1273
98,993
99,631
100,483
101,338
102,241
103,158
104,132
105,72
106,66
107,35
108,26
109,18
110,10
111,9
112,13
113,8
114,5
115,3
116,2
117,5
118,3
119,1
120,1
121,2
122,1
123,1
124,2
125,12
126,6
134,1
225,4
226,1
971,1
