County,Count
Allen,8886
Anderson,5813
Atchison,11105
Barber,2840
Barton,17092
Bourbon,12706
Brown,6630
Butler,50037
Chase,1870
Chautauqua,2300
Cherokee,15677
Cheyenne,2021
Clark,1472
Clay,6049
Cloud,5714
Coffey,6044
Comanche,1126
Cowley,20565
Crawford,27871
Decatur,2020
Dickinson,13866
Doniphan,5014
Douglas,80131
Edwards,1815
Elk,1882
Ellis,20560
Ellsworth,3839
Finney,20855
Ford,16903
Franklin,19179
Geary,18836
Gove,1815
Graham,1814
Grant,3774
Gray,3297
Greeley,845
Greenwood,4609
Hamilton,1327
Harper,3861
Harvey,23016
Haskell,2214
Hodgeman,1270
Jackson,9156
Jefferson,14102
Jewell,2237
Johnson,468594
Kearny,2189
Kingman,5616
Kiowa,1509
Labette,13677
Lane,1125
Leavenworth,57755
Lincoln,2099
Linn,7800
Logan,1887
Lyon,20604
Marion,8130
Marshall,7296
McPherson,19460
Meade,3289
Miami,26172
Mitchell,4207
Montgomery,21330
Morris,4040
Morton,2058
Nemaha,7429
Neosho,11062
Ness,1935
Norton,3450
Osage,12249
Osborne,2574
Ottawa,3902
Pawnee,3650
Phillips,3995
Pottawatomie,18982
Pratt,5714
Rawlins,1986
Reno,43007
Republic,3489
Rice,6532
Riley,39898
Rooks,3583
Rush,2176
Russell,4598
Saline,37629
Scott,3484
Sedgwick,345277
Seward,11315
Shawnee,116578
Sheridan,1849
Sherman,3663
Smith,2843
Stafford,2650
Stanton,1024
Stevens,3338
Sumner,15547
Thomas,5448
Trego,2049
Wabaunsee,5341
Wallace,1160
Washington,3610
Wichita,1246
Wilson,5063
Woodson,2252
Wyandotte,93113
