text_res_address_nbr,Count
,2756
0,33
001,2
002,3
003,4
007,2
008,1
01,1
01009,1
011,2
01202,2
01306,1
01308,1
01406,1
01506,2
01806,4
01904,2
02005,2
02204,1
023,3
02401,2
025,1
03,1
03002,3
03003,2
03006,1
03402,1
03408,1
03605,1
03801,1
04,1
04101,1
04105,2
04505,1
04514,1
04604,1
04605,1
05105,2
05305,1
05403,2
05405,1
05408,1
05535,1
06160,1
06505,1
06514,2
06705,2
06706,1
06904,2
07206,2
07216,1
07306,2
075,2
07505,1
07544,3
07805,2
08005,2
08206,2
08401,1
08402,2
08505,1
09205,1
09305,4
09505,3
09507,2
09705,1
09707,2
1,860
10,791
100,2363
1000,1477
10000,152
10001,207
10002,117
10003,57
10004,83
10005,130
10006,123
10007,69
10008,93
100082,2
10009,128
100095,2
1001,2039
10010,146
10011,92
100112,2
100116,1
100118,3
100119,2
10012,100
10013,95
10014,119
10015,105
10016,82
10017,96
10018,85
100187,3
10019,74
100199,1
1002,1273
10020,123
100206,1
10021,94
10022,62
100227,2
100228,1
10023,33
100232,2
10024,75
100245,6
10025,67
10026,53
100262,2
100268,2
10027,43
100270,2
10028,45
100280,1
10029,47
1003,956
10030,81
10031,65
10032,34
100323,2
10033,36
100334,2
10034,40
10035,29
10036,26
10037,43
10038,25
10039,20
1004,1172
10040,38
10041,35
10042,15
10043,19
100431,1
10044,26
10045,13
10046,25
100462,2
10047,18
10048,21
100480,1
100486,2
10049,17
100497,1
100498,2
1005,1343
10050,56
10051,40
10052,11
10053,12
10054,15
10055,22
10056,2
10057,10
10058,8
10059,7
1006,1102
10060,18
10061,20
10062,17
10063,10
10064,19
10065,25
10066,6
10067,7
10068,10
10069,8
1007,1020
10070,12
10071,17
10072,16
10073,8
10074,11
10075,17
10076,5
10077,12
10078,4
10079,4
1008,1183
10080,17
10081,15
10082,7
10083,5
10084,5
10085,8
10086,5
10087,14
10088,6
10089,3
1009,1318
10090,9
10091,16
10092,9
10093,3
10094,1
10095,3
10096,3
10097,7
10098,5
10099,3
101,3209
1010,1975
10100,156
10101,170
10102,94
10103,65
10104,85
10105,150
10106,93
10107,73
10108,97
10109,110
1011,1103
10110,141
10111,95
10112,91
10113,90
10114,121
10115,96
10116,96
10117,59
10118,84
10119,66
1012,1171
10120,97
10121,73
10122,76
10123,51
10124,82
10125,68
10126,58
10127,48
10128,50
10129,31
1013,942
10130,98
10131,55
10132,44
10133,38
10134,40
10135,42
10136,54
10137,35
10138,30
10139,28
1014,891
10140,49
10141,43
10142,30
10143,26
10144,30
10145,33
10146,21
10147,20
10148,26
10149,16
1015,1279
10150,52
10151,42
10152,9
10153,9
10154,3
10155,13
10156,13
10157,15
10158,7
10159,10
1016,953
10160,21
10161,15
10162,7
10163,6
10164,11
10165,9
10166,15
10167,6
10168,24
10169,17
1017,1001
10170,8
10171,15
10172,20
10173,11
10174,11
10175,17
10176,13
10177,13
10178,1
10179,6
1018,836
10180,19
10181,28
10182,8
10183,10
10184,5
10185,21
10186,15
10187,4
10188,2
10189,3
1019,856
10190,10
10191,11
10192,5
10193,6
10194,3
10195,18
10196,9
10197,8
10198,20
10199,6
102,2732
1020,1362
10200,439
10201,223
10202,77
10203,74
10204,124
10205,165
10206,139
10207,89
10208,127
10209,148
1021,1071
10210,163
10211,135
10212,112
10213,107
10214,86
10215,145
10216,125
10217,78
10218,134
10219,82
1022,582
10220,123
10221,117
10222,75
10223,68
10224,92
10225,107
10226,64
10227,61
10228,73
10229,104
1023,593
10230,123
10231,69
10232,74
10233,89
10234,59
10235,59
10236,76
10237,208
10238,45
10239,28
1024,739
10240,92
10241,125
10242,51
10243,39
10244,35
10245,83
10246,41
10247,32
10248,28
10249,43
1025,803
10250,54
10251,52
10252,16
10253,37
10254,22
10255,45
10256,18
10257,27
10258,9
10259,24
1026,573
10260,33
10261,19
10262,11
10263,23
10264,18
10265,14
10266,21
10267,14
10268,4
10269,9
1027,539
10270,19
10271,10
10272,16
10273,24
10274,3
10275,30
10276,17
10277,15
10278,27
10279,13
1028,525
10280,25
10281,17
10282,4
10283,17
10284,15
10285,15
10286,6
10287,6
10288,11
10289,6
1029,473
10290,21
10291,8
10292,16
10293,4
10294,3
10295,6
10296,8
10297,5
10298,13
10299,7
103,2397
1030,636
10300,231
10301,157
10302,132
10303,95
10304,98
10305,132
10306,102
10307,96
10308,145
10309,120
1031,519
10310,119
10311,137
10312,110
10313,90
10314,79
10315,101
10316,107
10317,95
10318,84
10319,82
1032,425
10320,96
10321,65
10322,43
10323,57
10324,85
10325,77
10326,50
10327,45
10328,51
10329,44
1033,422
10330,106
10331,85
10332,50
10333,52
10334,39
10335,51
10336,43
10337,45
10338,40
10339,32
1034,339
10340,53
10341,48
10342,57
10343,36
10344,37
10345,24
10346,42
10347,24
10348,23
10349,29
1035,403
10350,42
10351,18
10352,16
10353,10
10354,25
10355,25
10356,11
10357,14
10358,16
10359,14
1036,359
10360,30
10361,15
10362,5
10363,7
10364,18
10365,24
10366,11
10367,2
10368,5
10369,15
1037,378
10370,40
10371,8
10372,12
10373,6
10374,3
10375,22
10376,10
10377,5
10378,9
10379,3
1038,268
10380,17
10381,10
10382,17
10383,15
10384,9
10385,21
10386,5
10387,6
10388,1
10389,3
1039,257
10390,21
10391,3
10392,4
10393,6
10394,9
10395,10
10396,7
10397,6
10398,15
10399,11
104,2601
1040,447
10400,180
10401,503
10402,70
10403,83
10404,110
10405,144
10406,101
10407,79
10408,133
10409,140
1041,304
10410,107
10411,89
10412,121
10413,93
10414,97
10415,116
10416,92
10417,95
10418,87
10419,59
1042,212
10420,105
10421,76
10422,42
10423,39
10424,63
10425,92
10426,77
10427,39
10428,56
10429,36
1043,259
10430,61
10431,35
10432,36
10433,34
10434,41
10435,21
10436,40
10437,25
10438,31
10439,18
1044,260
10440,39
10441,16
10442,18
10443,15
10444,13
10445,30
10446,19
10447,11
10448,27
10449,20
1045,304
10450,37
10451,16
10452,11
