text_street_name,Count
,2761
1,139
1/2 Douglas,1
1/2 Washington,1
10,616
100,786
1000,621
10000,53
1000th,13
100th,3251
101,16
101st,2481
102,42
1021,11
1025,5
1029,3
102nd,1846
103,4
1031,7
1032,4
1033,2
1037,6
103rd,1170
104,28
1040,1
1043,3
1044,2
1048,3
104th,1067
105,53
1050,62
1055,12
1056,27
105th,1620
106,70
1060,14
1062,25
1066,20
1067,24
1068,4
106th,1621
107,29
1072,7
1075,6
107th,1294
108,69
108 Spur,1
108 Th,2
1082,37
1083,11
1087,22
108th,1821
109,26
1094,2
1099,6
109th,1971
10th,9229
10th Cavalry,49
10th Road,20
10th St,2
10th St-Cntrp,1
10th Street,31
11,54
110,270
110 Spring,20
1100,655
11000,51
1100th,30
1108,13
110th,2430
111,17
1112,5
1116,17
1117,9
111th,1292
112,59
1122,7
1125,4
112th,1694
113,30
1130,7
1135,30
1137,39
1138,24
113th,1667
114,31
114th,1394
115,26
115 th,2
1150,161
11500,17
1150th,22
1156,4
1157,4
1158,1
115th,2697
116,12
1167,27
1169,10
116th,2839
117,29
1172,13
1175,22
117th,1597
118,18
1180,5
1183,10
1184,5
118th,1783
119,14
1190,19
119th,2153
11th,6376
11th Road,17
11th Street,14
12,65
120,294
1200,399
12000,43
1200th,25
120th,2767
121,12
1217,10
121st,3176
122,6
1226,3
122nd,1692
123,33
1230,4
123rd,3206
124,10
1240,4
124th,2706
125,14
1250,127
1256,8
1259,54
125th,2679
126,164
1260,15
1264,84
126th,2447
127,18
1275,17
1279,6
127th,2777
128,10
1284,20
1287,1
1289,16
128th,1859
129,20
1292,18
1296,17
129th,1801
12th,6306
12th Road,35
12th St,2
12th St-Cntrp,7
12th Street,7
13,77
130,262
1300,336
13000,44
1300th,34
1304,5
130th,1873
131,28
131 St.,2
1310,14
1311,5
1318,9
131st,2699
132,28
1320,6
1325,3
1326,23
132nd,2696
133,13
1330,4
1338,46
133rd,1617
134,13
134th,1276
135,21
1350,63
135th,892
136,4
1360,3
1368,12
1369,20
136th,1316
137,5
1375,25
137th,1397
1380,7
1382,9
138th,2208
139th,1622
13th,5929
13th Circle,8
13th Road,27
13th St,5
14,21
140,255
1400,350
14000,68
1400th,96
140th,2156
141,3
1415,4
1418,2
141st,2081
1420,4
142nd,1576
1430,3
143rd,1906
144th,2184
145,2
1450,82
14500,10
1452,30
1456,6
1457,24
145th,1793
146,14
1464,20
1466,10
146th,1889
147,16
14700,2
1472,8
1474,17
1475,10
1479,31
147th,1960
1483,8
1485,63
148th,1370
1491,2
1493,3
1495,12
149th,1691
14th,4843
14th Cavalry,38
14th Road,14
14th St,55
14th St-Cntrp,1
15,48
15 Th,1
150,407
1500,415
15000,53
1505,8
1505 Rd,17
150th,2595
1512,13
1517,4
151st,1560
152,2
1523,5
1525,19
152nd,1814
1531,22
1532,11
1537,8
153rd,1878
1549,9
154th,1786
154th Ter,14
155,11
1550,165
15500,14
155th,2596
156th,2330
157,3
1570,5
1575,23
157th,2932
1581,3
1584,14
1585th,2
1587,39
