text_mail_city,Count
,1866465
\,2
],1
`,1
+,1
=,1
07005,1
108 N Madison S,1
2103 Crestway Dr,1
318 E McKay,1
67120,1
67629,1
719 Traders Ave,1
7318,1
817 Alger Hall,1
908 Grantstreet,1
Abbeville,2
Abbyville,36
Abbyville Ks,1
Aber Prov Grd,1
Aberdeen,8
Abil,1
Abilene,249
ABILENE,1
Abita Springs,1
Acworth,1
Ada,2
Adams,1
Adamstown,2
Addis,1
Adkins,1
Admire,16
Adrian,1
Afton,3
AFTON,1
Agenda,40
Agoura Hills,1
Agra,103
AIBONITO,1
Aiea,1
Aiken,2
Ainsworth,1
Airway Heights,1
AJ,1
Akron,4
Alabaster,1
Alameda,2
Alamo,3
Alamogordo,4
Albany,1
Albert,93
Albion,1
Albuquerque,25
Alden,58
Aledo,1
Alex Bay,1
Alexander,33
Alexandria,27
Alfred,1
Algard,1
Alhambra,2
Aliso Viejo,2
Allen,140
Allendale,1
Allentown,3
Allston,4
Alma,307
Almena,244
Alpharetta,1
Alpine,2
Alta Vista,197
ALTA VISTA,1
Alta Vista Ks,1
Altamont,326
Alto,1
Alton,19
Altoona,91
Altus,3
Alva,7
Amargosa Valley,1
Amarillo,2
Americus,189
Amery,1
Ames,33
Amherst,5
Amherst College,1
Amoret,1
Amorita,1
Anacortes,4
Anaheim,2
Anahiem,1
Anchorage,5
Andale,238
Andover,603
ANDOVER,1
"Andover, Ks",1
Andrews Afb,1
Andrews AFB,1
Angels Camp,2
Angleton,1
Angola,1
Ankeny,2
Ann Arbor,10
Anna,1
Annandale,2
Annapolis,18
Anniston,1
Anthony,328
Antioch,3
Apache Junction,6
Apg,1
Apo,48
APO,64
APO AA,1
Apo Ae,10
APO AE,2
Apo Ap,1
"Apo,ae",1
Apopka,2
Apple Valley,1
Appleton City,1
Arapahoe,2
ARAPAHOE,1
Arcadia,25
Arcata,1
Arden,1
Arden Hills,1
Ardmore,1
Argonia,157
Arizona City,1
Ark city,1
Ark City,3
Arkansas,1
Arkansas City,285
Arkington,1
Arlington,144
Arlington Ks,1
Arma,383
Arnold,1
Arroyo Seco,2
Arvada,2
Asbury,3
Ashburn,2
Ashland,705
ASHLAND,8
Assaria,161
Astoria,2
Atascadero,1
Atascosa,1
Atchinson,2
Atchison,273
Athena,1
Athens,9
Athol,1
Atlanta,99
Atoka,1
Attica,125
Atw,1
Atwood,603
ATWOOD,2
Au,1
Auburn,168
AUBURN,2
Auburndale,1
Audrey,1
Augusta,510
Ault,1
Aurora,43
AURORA,2
Austin,40
Austrailia,1
Australia,2
Avalon,1
Ave Maria,3
Avoca,1
Avon,2
Avondale,2
Axle,1
Axtell,85
Azle,1
Babson Park,1
"Bad Homburg, Germany",1
Baden,1
Bailey,1
Baileyville,27
Bakersfield,4
Bala Cynwd,1
Bald Head Island,1
Baldwin,10
Baldwin City,451
Ballston Spa,1
Ballwin,4
Baltimore,16
Bangkok,1
Barboursville,1
Barnard,42
Barnes,29
Barnett,1
Barrington,3
Barstow,1
Bartlesville,12
Bartlett,14
Bartleville,1
BARTLEY,1
Basalt,2
Basehor,353
Bastrop,1
Bath,1
Baton Rouge,2
Battle Creek,1
Battlecreek,1
Battlefield,1
Bax Springs,1
Baxter Spgs,1
Baxter Spring,1
Baxter Springs,348
Baxter Srpings,1
Bay Saint Louis,1
Bay St Louis,1
Bayamon,1
Bayfield,1
Bayonne,1
Baytown,1
Bazine,75
Beach Park,1
Bealton,1
Beattie,17
Beaufort,5
Beaumont,2
Beaver,1
Beaver City,1
Beaver Falls,1
Beavercreek,5
Bedford,1
Beebe,1
Beech Island,1
Beeler,11
BEELER,1
Bel Air,1
Bel Aire,17
Belaire,1
Bell,1
Bell Plaine,1
Bella vista,2
Bella Vista,2
BELLA VISTA,1
Belle,1
Belle Plain,1
Belle Plaine,413
BELLE PLAINE,1
Bellevi,1
Belleville,496
BelLEVILLE,1
Bellevue,23
Bellewe,1
Bellingham,4
Bellvue,1
Belmont,1
Beloit,194
Belpre,34
Belton,28
BELTON,2
Belton Ks,1
Belvue,79
Ben Wheeler,1
"Ben Wheeler,",1
Bend,2
Bendena,31
Benedict,12
Benkelman,4
Bennington,154
Benson,1
Bentley,280
"Bentley, Ks",1
Benton,365
Benton Harbor,1
Bentonville,8
Berea,1
Bergman,1
Berkeley,6
Berkeley Heights,1
"Berlin, German",1
Bern,83
Berrington,1
Berryton,65
Bershire ENG,1
Berthoud,1
Berwyn Heights,1
Bessemer,1
Bethany,3
Bethesda,3
Bethlehem,1
Bettendorf,2
Beuna Vista,1
Beverly,101
Bhuler,1
BIG SANDY,4
Big Sky,1
Billings,5
BiLLINGS,1
Biloxi,2
Binghamton,1
Biola University,1
Bird City,397
BIrd City,1
