precinct_part_text_name,Count
000010-Harrison Twp (241),47
000010 - Baxter Sp W1,618
000020-Sharon Springs P1 (241),253
000020-SS Twp P3 (241),34
000020 - Baxter Sp W2,652
000030-Sharon Springs P2 (241),327
000030-SS Twp P4 (241),117
000030-SS Twp P4 (242),2
000030 - Baxter Sp W3,1114
000040-Wallace City (241),38
000040-Wallace Twp (241),75
000040-Wallace Twp (275),13
00004A - Baxter Sp W4,832
000050-Weskan Twp (241),20
000050-Weskan Twp (242),234
"000050 - Cherokee (247, 1-4)",169
"000050 - Cherokee (493, 3-6)",109
000060 - Columbus W1 (1-4),5
000060 - Columbus W1 (2-5),376
000070 - Columbus W2 (1-4),364
000070 - Columbus W2 (2-5),148
000080 - Columbus W3 (1-4),56
000080 - Columbus W3 (2-5),393
000090 - Columbus W4,463
00010A - Columbus W5 (1-4),1
00010A - Columbus W5 (2-5),162
00010A - Columbus W5 (3-6),229
"000110 - Crawford (404, 1-4)",118
"000110 - Crawford (493, 3-6)",377
000120 - Galena W1,594
00013A - Galena W2,514
000140 - Galena W3,701
00015A - Galena W4,430
000170 - Grdn / Lwl (404.1-4),57
000170 - Grdn / Lwl (404.2-5),1045
000170 - Grdn / Lwl (404.3-6),555
"000170 - Grdn / Lwl (508, AL)",65
"00018A - Grdn / StMns(404,1-4)",30
"00018A - Grdn / StMns(404,2-5)",7
"00018A - Grdn / StMns(404,3-6)",292
"00018A - Grdn / StMns(499,AL)",229
"000190 - Lola (493, 1-4)",233
"000200 - Lowell (404, 1-4)",305
"000200 - Lowell (404, 2-5)",23
"000200 - Lowell (499, AL)",223
"000210 - Lyon / Lyon (493,1-4)",278
"000220 - Mineral (247, 1-4)",45
"000220 - Mineral (493, 3-6)",104
"000230 - Nsh / Flknr (493,1-4)",75
"000240 - Nsh / Mlrs (493,1-4)",108
"000240 - Nsh / Mlrs (505,AL)",7
"000250 - Pleasant Vw (247,1-4)",15
"000250 - Pleasant Vw (250, AL)",5
"000250 - Pleasant Vw (493,3-6)",425
"000270 - Ross/Bllvw (247, 2-5)",17
"000270 - Ross/Bllvw (247, 3-6)",7
"000270 - Ross/Bllvw (493, 1-4)",46
"000270 - Ross/Bllvw (493, 3-6)",68
"000280 - Ross/Rslnd (247,2-5)",96
"000280 - Ross/Rslnd (493,3-6)",27
"000280 - Ross/Rslnd (493,3-6)C",62
"000290 - Ross/W Min (247,2-5)",14
"000290 - Ross/W Min (247,3-6)",43
"000290 - Ross/W Min (247,3-6)C",126
"00030A - Salamanca (493, 1-4)",409
"00030A - Salamanca (493, 2-5)",13
000310 - Scammon W1,81
000320 - Scammon W2,107
000330 - Scammon W3,108
"000340 - Shawnee (404, 1-4)",35
"000340 - Shawnee (404, 2-5)",19
"000340 - Shawnee (493, 3-6)",310
"000340 - Shawnee (499, AL)",34
"000350 - Sheridan (247, 3-6)",146
"000350 - Sheridan (493, 1-4)",15
"000360 - SpVly / Ntrl (508,AL)",15
"000360 - SpVly / Ntrl(404,1-4)",474
"000360 - SpVly / Ntrl(493,3-6)",21
"00037A - SpVly / SpVly(404,14)",27
"00037A - SpVly / SpVly(508,AL)",363
001 H W1 P1,678
"001.2 Ward 1, Com 3, BM 1-4",701
002 H W1 P2,826
"002.1 Ward 2, Com 1, BM 3-6",1098
003 H W2 P1,879
"003.1 Ward 3, Com 2, BM 2-5",1207
004 H W2 P2,704
"004.1 Pre 4, Com 3, 209",11
"004.3 Pre 4, Com 3, 452",3
"004.4 Pre 4, Com 3, 507",13
"004.5 Pre 4, Com 3, BM 1-4",320
005 H W2 P3,555
"005.1 Pre 5, Com 1 BM 3-6",270
"005.2 Pre 5, Com 1, 452",1
006 H W2 P4,626
"006.1 Pre 6, Com 2 BM 2-5",150
007 H W2 P5,533
008 H W3 P1,587
009 H W3 P2,914
01,4
01.1,725
01.1 Bunker Hill City CC5 407,88
01.1 Cimarron Twp/C-1/218,46
010 H W3 P3,935
011 H W3 P4,2199
012 H W4 P1,739
013 H W4 P2,1024
014 H W4 P3,741
015 H W4 P4,1349
016 H W4 P5,1168
017 Ellis City,1538
02,1569
02.1,625
02.1 Dorrance City CC5 112,106
02.1 Elkhart/W-2/C-2,205
02.2 Elkhart/W-2/C-3,95
02.3 Elkhart/W-3/C-2,234
02.4 Elkhart/W-3/C-3,188
02.5 Elkhart/W-1/C-2,45
02.6 Elkhart/W-2/C-1,154
02.7 Elkhart/W-1/C-3,385
02.8 Elkhart/W-1/C-1,95
025B.1,58
026.1,196
026B.1,678
03,4
03.1,844
03.1 Gorham City CC4 407,244
03.1 Jones/C-2/218,8
033.1,835
034.1,702
035.1,667
035B.1,494
038.1,1657
038B.2,435
04,1468
04.1,993
04.1 Lucas City CC3 299,221
04.1 Richfield/C-2/217,31
041.1,1754
042.1,427
042B.1,509
042B.3,1
042B.4,2
043.1,2343
044.1,725
044B.1,438
046.1,1068
046B.1,1205
049.1,1773
049B.1,276
05,1759
