precinct_text_name,Count
01,4
0101,17
0102,1267
0103,289
0104,135
0105,1111
0106,2483
0107,2036
0108,1383
0109,1580
0110,1895
0111,476
0112,1803
0113,1735
0114,1676
0116,2164
0117,1774
0118,2012
0119,1668
0120,1666
0121,1271
0122,2824
0123,400
0126,374
0127,41
0128,1438
0129,571
0130,1119
0133,57
0135,436
0136,913
0137,1562
0138,1961
02,1569
0205,873
0206,636
0207,3152
0208,623
0209,1770
0210,2293
0211,903
0214,1867
0215,3003
0216,1553
0217,1919
0218,3438
0221,1149
0222,1347
0223,1781
0224,3415
0225,3831
0226,2316
0227,1511
0228,2643
0230,157
0233,894
0235,572
0236,1127
0238,334
0239,99
0240,382
0241,182
0242,337
0243,79
0246,296
0247,525
0248,50
0249,1603
0250,730
0251,690
0252,850
0257,1
03,4
0301,994
0302,2090
0303,1071
0304,857
0305,469
0306,2307
0307,1589
0308,1832
0309,168
0310,2017
0312,919
0313,2430
0314,2104
0315,1821
0316,1222
0317,22
0318,254
0319,566
0320,661
0321,98
0324,920
0325,1172
0326,183
0328,146
0330,1594
0331,386
0332,872
0333,1236
0334,823
0335,649
0336,264
0339,1952
04,1468
0401,1108
0402,834
0403,1025
0404,2674
0405,1601
0406,1740
0407,201
0408,1729
0409,957
0410,2293
0411,1
0412,3760
0413,2438
0414,1125
0416,1194
0417,1319
0418,1836
0419,1284
0420,1666
0422,1204
0423,1688
0424,873
0425,2645
0426,220
0429,998
0431,147
0433,763
0434,2
0437,1058
0444,148
0445,732
0446,287
0447,318
0448,124
0449,691
05,1759
0503,2398
0504,1627
0506,2063
0507,1890
0508,1658
0509,1627
0510,1954
0512,4189
0513,1891
0514,2421
0515,2005
0516,1261
0517,1294
0518,1564
0519,1805
0522,1571
0523,1500
0524,2352
0525,1836
0526,2065
0527,2052
0528,2
0530,1970
0531,2842
0534,241
0539,2013
0541,3
0544,257
0545,959
0549,23
0550,71
0551,10
06,980
0601,2732
0602,2410
0603,668
0604,2223
0605,836
0606,741
0607,2044
0608,1891
0609,2573
0610,1727
0611,1232
0612,2224
0613,1801
0614,1231
0615,3181
0616,1422
0617,1058
0618,715
0619,1824
0621,666
0622,2132
0623,2322
0624,218
0626,20
0627,129
0629,146
0630,5
0632,843
0633,819
0634,311
07,1941
08,669
09,2644
1 Pct 1 Ward,904
1 Pct 2 Ward,817
1 Pct 3 Ward,1050
1 Pct 4 Ward,658
1 Pct 5 Ward,927
1 Pct 6 Ward,1009
1 Pct 7 Ward,495
10,1691
11,985
12,100
13,298
14,985
15,1492
16,1388
17,2483
18,226
19,1364
1st Ward Exclave Colonial,15
1st Ward Exclave Halls,22
2 Pct 2 Ward H40,478
2 Pct 2 Ward H41,146
2 Pct 5 Ward,689
2 Pct 6 Ward H38,352
2 Pct 6 Ward H40,476
2 Pct 7 Ward,2572
20,1803
21,373
22,507
23,1352
24,1893
25,1278
26,412
27,169
28,19
29,203
3 Pct 2 Ward,996
3 Pct 5 Ward,1273
3 Pct 6 Ward,821
3 Pct 7 Ward H38,1357
3 Pct 7 Ward H40,1916
30,1661
31,34
4 Pct 5 Ward,803
4 Pct 6 Ward H38,442
4 Pct 6 Ward H41,1022
5 Pct 6 Ward,1326
AB City  W1 USD435,749
AB City W2 USD435,1146
AB City W3 USD435,700
AB City W4 P1 USD435,901
AB City W4 P2 USD435,1116
Abbyville 72,55
AC 1A,2018
AC 1AAX,1
AC 1ABX,30
AC 2A,1261
AC 2AAX,2
AC 3A,1473
AC 4A,1332
Achilles,29
Adams Township,135
Adrian,117
Aetna Township Prct1,6
AF01,1208
Agra City,180
Alamota Twp,37
Albano 051,32
Albion 33,136
Albion Twp,34
Albion Twp / Narka,101
Aldersgate - Mission,373
Alexander-Belle Prairie Twsp.,39
Alexander City,31
Allen,97
Allen Township,22
Allodium Township,29
Almena1 - Prec 1,360
Alta  A1,174
Alton City,80
Altoona City,177
AN01,624
Andover W1,6032
Andover W2,3470
Andover W3,957
Andover W3 77,180
Andover W3 88,825
Andover W3 Exc C,166
Andover W4,292
Anthony City,1419
Anthony Lake,47
Anthony Power Plant,2
Apache - Soldier,722
Appanoose Twp,217
Appleton,612
Arcade,62
Arcadia,215
Argonia City,317
Arion,72
Arlington 34,81
Arlington City 73,280
Ash Creek,45
Ash Valley Twp,37
Asherville Township,69
Ashland Twp,127
AT01,25
AT02,108
AT03,794
AT04,3
AT05,297
AT06,115
AT07,5
AT08,88
