text_phone_area_code,Count
,473224
000,145507
007,1
013,2
019,1
021,1
022,1
032,1
037,1
040,1
052,1
061,1
062,2
070,3
072,1
073,1
078,1
080,1
082,1
089,1
091,7
10 ,1
102,1
103,1
108,1
112,2
120,1
122,2
123,2
125,5
130,1
131,1
132,3
133,1
134,1
135,1
136,1
137,1
139,1
141,1
143,1
151,2
16 ,2
160,1
161,2
163,1
165,1
178,1
185,4
193,4
195,1
197,1
200,1
201,193
202,310
203,248
204,16
205,286
206,496
207,266
208,776
209,511
210,975
212,18
213,183
214,1344
215,154
216,191
217,713
218,259
219,186
220,5
221,2
222,1
223,10
224,279
225,228
226,2
227,1
228,112
229,131
230,3
231,129
232,1
234,19
235,2
236,5
239,282
24 ,1
240,334
242,2
243,1
245,1
246,2
248,301
250,21
251,152
252,197
253,665
254,900
256,301
257,2
259,1
260,176
261,1
262,297
264,2
265,2
267,186
268,1
269,222
270,324
271,1
272,4
274,1
275,1
276,63
279,16
280,3
281,535
282,2
283,1
284,1
285,6
288,1
289,3
290,1
291,1
292,1
293,1
298,1
300,3
301,264
302,171
303,2634
304,224
305,277
306,26
307,723
308,1385
309,646
310,530
311,9
312,429
313,204
314,2102
315,503
316,250840
317,553
318,419
319,843
320,188
321,338
322,1
323,402
325,274
326,58
327,1
328,1
330,303
331,61
332,7
333,2
334,325
336,274
337,283
339,22
340,17
341,8
342,1
344,1
345,3
346,170
347,319
348,1
349,1
350,3
351,8
352,338
353,4
354,3
356,4
357,2
358,3
360,838
361,307
362,6
363,3
364,2
365,1
366,2
367,1
368,2
370,1
371,7
373,1
375,1
376,1
378,1
379,1
380,4
381,3
383,1
384,2
385,197
386,171
388,1
389,2
390,1
391,3
393,3
396,4
398,1
401,134
402,4782
403,31
404,541
405,2649
406,521
407,526
408,339
409,228
410,230
412,210
413,131
414,259
415,283
416,32
417,6425
418,3
419,260
420,5
422,2
423,259
424,115
425,459
426,1
428,2
429,1
430,20
431,2
432,249
434,153
435,290
437,1
438,4
440,172
441,1
442,70
443,401
444,1
445,6
446,2
447,3
448,1
45 ,1
450,2
451,2
452,4
454,2
455,1
456,1
458,18
459,1
460,3
461,1
462,1
463,6
464,5
465,1
466,1
467,1
468,1
469,865
470,159
471,10
473,2
474,3
475,34
476,1
478,129
479,1292
480,1104
481,1
482,2
484,185
485,14
486,1
487,1
488,1
489,1
490,1
492,3
493,1
494,1
495,1
496,3
497,1
498,1
499,1
50 ,1
500,3
501,680
502,311
503,613
504,247
505,931
506,3
507,396
508,161
509,444
510,307
511,6
512,1046
513,380
514,14
515,1234
516,146
517,211
518,166
519,18
520,777
521,1
523,2
524,1
525,2
526,2
527,2
529,2
530,502
531,136
533,1
536,2
537,1
538,1
539,70
540,400
541,580
543,1
545,1
546,1
547,2
549,1
550,1
551,38
552,1
553,2
555,5
557,4
559,487
560,4
561,291
562,393
563,357
564,13
565,1
566,2
567,48
569,1
570,247
571,309
572,14
573,2313
574,196
575,447
577,2
578,2
579,2
580,2054
581,2
582,3
583,2
585,179
586,116
587,4
588,3
590,1
591,3
593,1
599,1
6  ,1
600,1
601,275
602,883
603,237
604,23
605,857
606,71
607,166
608,432
609,263
610,193
612,646
613,35
614,334
615,572
616,239
617,191
618,731
619,866
620,287339
621,10
622,13
623,460
624,4
625,8
626,367
627,5
628,18
629,62
630,819
631,168
632,3
636,949
639,4
640,7
641,368
642,4
643,1
644,2
645,1
646,300
647,11
648,1
649,3
650,166
651,392
652,2
654,3
656,5
657,39
658,2
659,4
660,1697
661,588
662,217
664,2
666,1
667,15
668,1
669,23
670,15
671,4
672,3
673,1
675,3
676,3
678,538
679,2
680,19
681,9
682,390
685,5
686,2
687,1
689,20
691,1
692,2
700,1
701,529
702,1091
703,589
704,385
705,21
706,612
707,480
708,384
709,8
710,6
712,662
713,460
714,595
715,304
716,245
717,373
718,97
719,3312
720,3228
721,1
722,1
723,2
724,184
725,47
726,11
727,332
728,1
730,3
731,124
732,184
733,1
734,257
735,2
736,1
737,78
738,2
739,2
740,205
741,2
743,3
744,1
745,3
746,1
747,35
748,4
749,2
750,2
751,1
752,4
753,5
754,44
755,21
757,674
758,52
759,1
760,1073
761,1
762,34
763,253
765,314
768,2
769,18
770,360
771,3
772,129
773,499
774,87
775,406
776,3
777,2
778,13
779,57
780,21
781,82
782,56
783,18
784,82
785,345286
786,504
787,355
788,39
789,26
790,1
791,1
792,1
793,1
794,1
795,70
797,5
798,5
800,94
801,758
802,125
803,392
804,311
805,596
806,1047
807,4
808,838
809,3
810,153
812,348
813,515
814,242
815,637
816,41320
817,1247
818,419
819,9
820,9
822,1
823,1
825,1
826,8
827,1
828,231
829,2
830,218
831,193
832,917
834,2
835,1
836,1
837,3
838,3
839,2
840,9
841,1
842,3
843,353
844,3
845,192
846,3
847,596
848,23
850,582
851,1
852,2
853,1
854,9
855,1
856,109
857,54
858,293
859,258
860,271
861,1
862,59
863,198
864,222
865,178
866,14
868,1
869,1
87 ,1
870,491
871,4
872,23
873,1
874,2
875,13
876,4
877,9
878,1
880,3
881,1
883,1
885,1
886,1
888,21
889,1
893,1
896,1
899,1
9  ,1
900,1
901,451
902,5
903,722
904,421
905,14
906,69
907,473
908,240
909,615
91 ,1
910,740
911,10
912,538
913,324436
914,246
915,604
916,729
917,438
918,4023
919,502
920,342
921,4
923,36
924,3
925,290
926,3
927,2
928,553
929,104
930,3
931,493
932,3
933,1
934,2
935,3
936,243
937,341
938,6
939,71
940,476
941,255
942,2
943,12
944,2
945,34
946,1
947,3
948,4
949,386
951,730
952,234
953,2
954,311
955,2
956,263
957,2
959,11
960,5
961,2
962,3
963,1
964,2
969,1
970,2183
971,227
972,648
973,156
974,3
975,2
978,126
979,219
980,85
981,2
983,6
984,36
985,173
986,12
987,2
989,192
990,1
991,5
997,1
999,15
