text_phone_exchange,Count
,510390
0,1
000,147025
002,1
005,1
007,1
008,1
009,1
010,1
012,1
013,1
014,1
015,2
018,1
019,1
020,6
021,8
022,11
023,1
024,2
025,4
026,1
027,2
028,7
029,4
030,2
031,3
033,2
034,17
035,2
036,3
037,2
038,5
039,3
040,4
041,8
042,3
043,11
044,2
045,2
046,1
047,2
048,3
049,4
050,1
051,1
052,1
054,2
055,1
056,2
058,5
059,6
060,1
061,13
063,6
064,2
065,1
066,1
067,1
068,3
069,4
070,2
071,4
072,3
075,11
076,1
077,4
078,4
079,16
08,1
080,3
082,1
083,1
084,2
086,1
088,2
089,1
091,2
092,1
093,1
094,2
095,1
096,3
099,1
101,3
102,3
105,1
107,1
109,3
11,1
110,2
111,2
112,1
114,1
116,2
117,1
118,2
119,2
120,1
121,5
122,3
123,6
124,2
125,4
126,2
130,3
131,2
132,3
133,1
135,2
136,1
137,1
138,2
139,2
140,2
141,2
142,1
143,3
144,1
146,1
148,1
149,3
150,2
151,3
153,1
155,1
160,2
161,1
162,1
163,1
164,1
165,1
166,4
167,2
168,1
170,1
173,1
174,3
175,2
176,2
177,1
178,2
179,1
181,2
182,2
184,1
187,1
188,1
189,1
190,1
191,2
192,1
194,2
197,2
199,2
200,7141
201,2961
202,2695
203,2235
204,4167
205,3590
206,2953
207,5627
208,3039
209,4320
210,4949
211,8
212,4292
213,5736
214,5568
215,6084
216,1416
217,4869
218,7393
219,2953
220,4596
221,6376
222,2517
223,4349
224,4061
225,2499
226,4352
227,3394
228,2824
229,1400
230,3656
231,4556
232,2884
233,1419
234,1002
235,2046
236,2325
237,962
238,4360
239,2016
24,2
240,2429
241,2994
242,3138
243,2830
244,3402
245,1651
246,1080
247,331
248,2352
249,7644
25,1
250,5721
251,2960
252,2052
253,5235
254,1005
255,3201
256,1705
257,1662
258,3702
259,6675
260,3368
261,859
262,3910
263,3077
264,1143
265,1746
266,1300
267,1922
268,3103
269,3039
270,336
271,3428
272,2032
273,1212
274,1192
275,1350
276,894
277,1276
278,1253
279,564
280,2721
281,1258
282,4507
283,3205
284,3302
285,4207
286,1828
287,2348
288,2853
289,1576
290,3023
291,1281
292,1200
293,2526
294,2384
295,2055
296,1088
297,543
298,641
299,3007
30,1
300,2379
301,558
302,3560
303,1964
304,5293
305,4292
306,2313
307,2745
308,2857
309,2399
310,621
311,3
312,3852
313,3852
314,3268
315,1011
316,337
317,2728
318,598
319,558
320,1546
321,2422
322,2039
323,3171
324,1329
325,1997
326,2025
327,1325
328,765
329,546
330,2298
331,3889
332,1844
333,2203
334,2278
335,854
336,2050
337,1489
338,2869
339,2863
340,1759
341,5324
342,4903
343,1812
344,1257
345,1841
346,1302
347,1970
348,412
349,602
350,1285
351,1418
352,1276
353,1429
354,554
355,839
356,1014
357,814
358,657
359,505
360,1251
361,666
362,1719
363,2228
364,3630
365,1939
366,2065
367,2500
368,851
369,1140
370,2592
371,4078
372,669
373,349
374,632
375,4244
376,1421
377,975
378,2143
379,747
380,814
381,2927
382,1538
383,3598
384,1973
385,1262
386,957
387,913
388,3161
389,748
390,4172
391,2223
392,1566
393,6821
394,498
395,284
396,983
397,1623
398,462
399,690
400,734
401,1082
402,1414
403,560
404,1695
405,943
406,2973
407,488
408,2306
409,4105
41,1
410,3194
411,10
412,1494
413,837
414,737
415,368
416,1578
417,1249
418,3163
419,567
420,618
421,2726
422,2272
423,2088
424,3789
425,1072
426,2433
427,493
428,770
429,1071
43,1
430,2573
431,2084
432,3132
433,2064
434,985
435,1012
436,171
437,1815
438,1938
439,1251
440,2621
441,3643
442,2071
443,2156
444,954
445,872
446,1347
447,1568
448,1686
449,2624
450,546
451,1617
452,1916
453,944
454,635
455,552
456,2877
457,718
458,1094
459,657
460,642
461,4548
462,1348
463,400
464,249
465,530
466,898
467,303
468,322
469,2165
470,758
471,610
472,1500
473,1197
474,2433
475,1830
476,743
477,2833
478,1187
479,1494
480,998
481,3856
482,841
483,1072
484,2450
485,2353
486,2359
487,319
488,3467
489,629
490,1172
491,3386
492,3249
493,831
494,1279
495,365
496,665
497,305
498,627
499,1834
500,773
501,679
502,477
503,249
504,759
505,593
506,2650
507,634
508,392
509,642
510,793
511,5
512,749
513,617
514,731
515,4473
516,2945
517,1071
518,3600
519,3081
520,714
521,2900
522,3990
523,1349
524,1635
525,471
526,2303
527,1262
528,912
529,1654
530,2484
531,1294
532,2055
533,817
534,1684
535,507
536,721
537,1788
538,519
539,1920
54,1
540,667
541,1891
542,1313
543,2003
544,2827
545,1376
546,809
547,1921
548,2341
549,1681
550,5279
551,1261
552,176
553,1761
554,3408
555,39
556,1059
557,370
558,3863
559,1884
56,1
560,915
561,597
562,2499
563,1151
564,1197
565,1046
566,528
567,403
568,2225
569,425
570,1087
571,498
572,217
573,2168
574,312
575,1552
576,289
577,3489
578,216
579,2102
580,1454
581,741
582,768
583,1889
584,843
585,1000
586,286
587,1541
588,759
589,657
590,592
591,632
592,1142
593,1708
594,1936
595,283
596,1541
597,462
598,419
599,1406
600,418
601,574
602,1807
603,821
604,283
605,2310
606,378
607,196
608,3036
609,1657
610,211
611,2
612,870
613,864
614,1580
615,1885
616,1295
617,6678
618,940
619,3015
620,2558
621,2449
622,524
623,1460
624,1905
625,2113
626,3588
627,541
628,1537
629,720
630,1108
631,2986
632,1508
633,5324
634,3003
635,973
636,3675
637,296
638,2103
639,3862
64,1
640,7998
641,2975
642,1986
643,3483
644,3523
645,2551
646,521
647,464
648,4350
649,2151
650,4407
651,2215
652,946
653,1297
654,1157
655,4756
656,1776
657,614
658,809
659,563
66,1
660,3868
661,783
662,2207
663,2838
664,2160
665,3040
666,214
667,591
668,724
669,3807
670,1930
671,852
672,2325
673,799
674,1243
675,1226
676,774
677,1439
678,675
679,433
680,5107
681,3461
682,3450
683,3083
684,1819
685,2968
686,1980
687,4332
688,1450
689,1827
690,315
691,2458
692,262
693,269
694,1215
695,489
696,387
697,699
698,241
699,497
7,1
700,9
701,712
702,1030
703,477
704,3397
705,1054
706,5246
707,2192
708,4030
709,2804
710,2795
711,2
712,1556
713,1959
714,854
715,344
716,599
717,1534
718,516
719,1723
720,259
721,4578
722,3855
723,342
724,2255
725,627
726,1086
727,4897
728,1418
729,2208
730,2122
731,3023
732,364
733,2807
734,2729
735,1184
736,455
737,3123
738,1675
739,430
740,340
741,1983
742,2036
743,1083
744,3134
745,872
746,454
747,2014
748,912
749,2915
750,444
751,269
752,765
753,257
754,858
755,5704
756,478
757,3061
758,542
759,537
760,2559
761,1290
762,2151
763,269
764,5123
765,2307
766,4549
767,1312
768,2316
769,805
770,1714
771,538
772,2148
773,1957
774,286
775,3207
776,2615
777,2351
778,2794
779,1965
780,2154
781,285
782,3028
783,889
784,433
785,305
786,1217
787,3258
788,3694
789,2663
790,136
791,683
792,1540
793,2033
794,4694
795,1006
796,1760
797,1214
798,1338
799,1470
800,641
801,320
802,746
803,1784
804,2249
805,1448
806,5000
807,2247
808,828
809,480
810,690
811,2
812,370
813,1117
814,1034
815,266
816,405
817,2367
818,245
819,1781
820,2264
821,2903
822,1364
823,1689
824,503
825,2974
826,1487
827,2975
828,897
829,3933
830,951
831,1550
832,3068
833,2918
834,216
835,918
836,930
837,1254
838,1715
839,1083
84,1
840,1934
841,4246
842,3117
843,1819
844,2164
845,3324
846,640
847,1085
848,327
849,358
850,2082
851,2450
852,605
853,494
854,425
855,1021
856,2296
857,452
858,217
859,362
860,635
861,734
862,537
863,720
864,546
865,1431
866,625
867,380
868,644
869,961
870,1143
871,2559
872,1563
873,1023
874,1035
875,1821
876,668
877,1117
878,434
879,616
880,1257
881,302
882,1466
883,1747
884,564
885,802
886,1097
887,492
888,2444
889,735
890,618
891,335
892,291
893,1427
894,1600
895,319
896,710
897,3195
898,752
899,4062
900,344
901,622
902,155
903,195
904,915
905,425
906,526
907,1039
908,2054
909,2614
910,393
911,3
912,773
913,166
914,1027
915,1349
916,450
917,1602
918,341
919,202
920,330
921,625
922,733
923,419
924,395
925,1590
926,663
927,1516
928,430
929,204
93,1
930,264
931,1621
932,775
933,275
934,102
935,368
936,145
937,617
938,1161
939,294
940,2248
941,758
942,1388
943,1240
944,1623
945,1666
946,613
947,915
948,1215
949,213
950,5
951,1269
952,2233
953,1379
954,833
955,791
956,668
957,1123
958,11
959,6
96,1
960,3350
961,2198
962,1449
963,2435
964,302
965,311
966,670
967,414
968,397
969,2049
970,107
971,193
972,1436
973,467
974,128
975,164
976,6
977,373
978,466
979,3006
980,2602
981,299
982,601
983,516
984,242
985,706
986,554
987,162
988,452
989,579
99,1
990,2533
991,1859
992,2427
993,2576
994,189
995,259
996,109
997,249
998,595
999,1435
