text_election_code_7,Count
,1049427
12897,2
22503,3
3188,1
4103,36
4197,3
4202,5
4291,3
4296,6
4301,7
4390,1
4495,2
4505,31
4604,1
4693,5
4699,4
4792,2
51804,17
CG,627
CG 201,1
CG0003,14
CG0004,9
CG0005,27
CG0007,31
CG0008,6
CG0009,36
CG0010,185
CG0011,80
CG005,8
CG0104,20
CG012,6
CG021,1
CG0304,24
CG033,10
CG0408,10
CG0410,1
CG0413,2
CG042,5
CG0491,2
CG0493,3
CG0495,4
CG0497,2
CG0504,74
CG052,1
CG06,4
CG08,5
CG10,2
CG1019,7
CG1029,1
CG1030,3
CG1068,4
CG11,30
CG1179,12
CG12,23
CG1279,3
CG13,22
CG14,67
CG15,85
CG1520,8
CG16,16
CG19,101
CG1987,3
CG1989,7
CG1990,1
CG1991,10
CG1993,60
CG1994,21
CG1995,86
CG1996,5
CG1997,142
CG1998,10
CG1999,143
CG20,1
CG2000,10
CG2001,302
CG2002,10
CG2003,570
CG2004,55
CG2005,2227
CG2006,85
CG2007,1515
CG2008,105
CG2009,1903
CG2010,161
CG2011,2128
CG2012,169
CG2013,2816
CG2014,216
CG2015,5423
CG2016,127
CG2017,11774
CG2019,33516
CG2021,64143
CG2023,7199
CG21,1209
CG21A,338
CG2209,1
CG2250,41
CG2259,19
CG2260,2
CG2269,7
CG2270,19
CG2279,1
CG2288,2
CG2289,17
CG2290,1
CG2299,2
CG2398,1
CG24,2
CG3105,33
CG3204,6
CG3210,4
CG3293,3
CG3299,31
CG3387,1
CG3398,2
CG400,1
CG401,5
CG402,1
CG403,7
CG404,1
CG405,46
CG4103,287
CG4197,96
CG4202,20
CG4290,1
CG4291,16
CG4296,13
CG4301,165
CG4390,2
CG44,1
CG4400,42
CG4406,1
CG4489,12
CG4495,47
CG4505,943
CG4594,1
CG4604,25
CG4693,45
CG4699,138
CG4787,3
CG4792,12
CG4798,18
CG48,21
CG496,5
CG497,5
CG498,7
CG499,4
CG510,14
CG5229,2
CG5404,2
CG5702,4
CG5704,5
CG6139,3
CG6219,2
CG6229,2
CG6259,1
CG6279,1
CG6290,2
CG6292,2
CG6705,14
CG6992,1
CG7139,5
CG7189,3
CG8249,1
CG8288,2
CG8895,1
CG9104,5
CG9149,3
CG9304,5
CG9504,6
CG956,10
CG964,9
CG9702,1
CG9704,19
CG973,13
CG9804,2
CG985,3
CG9904,14
CG993,19
CGAP,54
CGCE06,3
CGCG,12
CGCG10,2
CGFR,2
CGG,2
CGHB06,3
CGHE06,1
CGHE08,1
CGLC10,1
CGNE,3
CGS,97
CGS06,11
CGS103,1
CGSP06,2
CGST08,2
CP0002,3
CP0004,3
CP0005,17
CP0007,3
CP0008,14
CP0009,11
CP0010,91
CP0102,4
CP0295,1
CP0297,1
CP0302,6
CP0408,10
CP0492,1
CP07,7
CP09,5
CP15,3
CP17,17
CP1987,4
CP1989,1
CP1991,4
CP1992,2
CP1993,12
CP1994,1
CP1995,20
CP1997,39
CP1998,2
CP1999,28
CP2000,4
CP2001,44
CP2003,209
CP2004,1
CP2005,220
CP2006,18
CP2007,334
CP2008,5
CP2009,149
CP201,1
CP2010,44
CP2011,194
CP2012,17
CP2013,234
CP2014,3
CP2015,492
CP2016,6
CP2017,1364
CP2019,2557
CP2021,8885
CP2023,11668
CP203,5
CP2250,1
CP287,2
CP305,3
CP399,2
CP9204,1
CP9702,4
CP9903,2
CPCH07,4
CPCP06,1
CPFR10,4
CPG 21,109
CPMN06,2
CPNC15,4
CPST08,1
GN1129,2
GN1149,9
GN1160,23
GN1180,25
GN1982,1
GN1984,17
GN1986,59
GN1988,215
GN1990,235
GN1992,1538
GN1994,753
GN1996,3414
GN1998,1563
GN2000,6552
GN2002,3718
GN2004,15971
GN2006,7838
GN2008,30771
GN2010,15908
GN2012,46981
GN2014,41429
GN2016,86567
GN2018,97881
GN2020,102442
GN2022,39612
GN4197,18
GN4202,1
GN4291,4
GN4301,15
GN4495,5
GN4693,4
GN4699,19
GN4798,3
MB#383,306
MB/SP,11
MB/WC,4
MB0108,305
MB0110,36
MB0112,550
MB0114,3
MB0115,447
MB0116,290
MB0120,2414
MB0121,6639
MB0123,1669
MB0211,19
MB0215,33
MB0216,192
MB0219,27
MB0315,103
MB0320,95
MB0322,3297
MB0324,1
MB0412,1035
MB0414,374
MB0416,27
MB0423,2490
MB0506,72
MB0508,97
MB0513,21
MB0516,97
MB0517,942
MB0518,2132
MB0519,1569
MB0607,33
MB0611,73
MB0613,717
MB0615,149
MB0616,992
MB0618,279
MB0619,193
MB0622,217
MB0623,1014
MB0711,15
MB0719,42
MB0807,6
MB0823,239
MB0830,15
MB0907,112
MB0915,104
MB0916,254
MB0917,119
MB0918,977
MB0919,992
MB0921,218
MB0922,198
MB1007,309
MB1013,728
MB109,3
MB1107,132
MB1109,12
MB1113,595
MB112,1
MB1205,435
MB1211,31
MB1213,32
MB1301,36
MB1302,84
MB1501,119
MB15B,10
MB1601,60
MB17,352
MB1701,141
MB17LA,110
MB1901,178
MB1995,10
MB1999,1
MB2000,1
MB2005,22
MB2006,64
MB2007,197
MB2008,67
MB2009,279
MB2010,57
MB2011,36
MB2012,54
MB2013,257
MB2014,504
MB2015,1493
MB2016,520
MB2017,359
MB2018,219
MB2019,767
MB2020,923
MB2022,307
MB2023,1
MB229,786
MB231,121
MB232,233
MB233,748
MB240,1
MB242,9
MB263,40
MB274,2
MB293,16
MB305,472
MB3408,55
MB360,8
MB368,119
MB383,37
MB394,64
MB396,37
MB398,1
MB402,149
MB415,12
MB416,82
MB437,440
MB4604,20
MB464,118
MB468,2
MB490,125
MB501,580
MB509,4
MB5116,188
MB512,1197
MB5398,27
MB5410,42
MB5411,39
MB6115,440
MB615,47
MB6215,61
MB9410,5
MBAL06,11
MBAU06,19
MBAUG,98
MBBE07,62
MBBE09,10
MBD423,90
MBHD07,11
MBMV06,13
MBNCO,2
MBOCA,5
MBPC09,19
MBREC,6
MBS615,1
MBSB09,2
MBSD07,68
MBSE09,4
MBSLS,4
MBST06,72
MBST17,14
PP0001,7
PP1992,23
PP2024,1718
PR0001,4
PR004,3
PR031,5
PR041,2
PR051,3
PR1984,1
PR1986,4
PR1988,8
