polling_place_text_address3,Count
,1902632
235 Main St,426
520 Washington St,148
92 S Oak,299
920 Lincoln,826
Back Door,3986
Back Lower North Door,759
East Door,731
East Door on Rowley Lane,1433
East Entrance,972
East Main Door,2409
East Side Center Door,1505
East Side Door,2336
East Side Lower Door,1075
East Side North Door,1296
East Side South Door,2200
Family Life Center Door,1624
Fellowship Hall Front Door,1101
Front Door,19367
Front Door South Side,1528
Front North Door,1527
Main Door,8354
Main Door North Side,853
Main Entrance,5242
Main North Entrance,1143
Main West Entrance,1310
Mulvane Bldg South Door,942
North Door,959
North Door near Gym,1547
North Door Near Gym,1468
North Main Door,997
North Side East End,479
Northwest Mall Lower Level,2173
NW Door to Media Room,1386
SE Multipurpose Door,1161
South Lower Entrance,1340
South Side Door,738
South Side West Door,597
Southwest Door,1690
W Side Door,835
West Door,5408
West Front Door,2695
West Gym Door,841
West Mall Entrance,2007
West Side Center Door,2308
West Side Door,4239
West Side Entrance,2211
West Side North Door,1944
West Side South Door,4535
