district_ks,Count
KS0001,51041
KS0002,44864
KS0003,55073
KS0004,37408
KS0005,52149
KS0006,38702
KS0007,61322
KS0008,56741
KS0009,56784
KS0010,61686
KS0011,59476
KS0012,52331
KS0013,56254
KS0014,51046
KS0015,50251
KS0016,59705
KS0017,43480
KS0018,54404
KS0019,42199
KS0020,52180
KS0021,53282
KS0022,39898
KS0023,50774
KS0024,51495
KS0025,40623
KS0026,53114
KS0027,52910
KS0028,41624
KS0029,39805
KS0030,51186
KS0031,52872
KS0032,49487
KS0033,48038
KS0034,51463
KS0035,59111
KS0036,51122
KS0037,51877
KS0038,39760
KS0039,41265
KS0040,50780
