district_pt,Count
 ,1474659
PT0,2650
"PT0,PT001,PT002,PT003,PT004",6032
"PT0,PT005,PT006,PT007,PT008",3470
"PT0,PT009,PT010,PT011,PT012",2128
"PT0,PT013,PT014,PT015,PT016",1725
"PT0,PT017,PT018,PT019,PT020",1241
"PT0,PT021,PT022,PT023,PT024",1837
"PT0,PT025,PT026,PT027,PT028",1674
"PT0,PT029,PT030,PT031,PT032",1424
"PT0,PT033,PT034,PT035,PT036",2656
"PT0,PT041,PT042,PT043,PT044",3692
"PT0,PT053,PT054,PT055,PT056",705
"PT0,PT065,PT066,PT067,PT068",1747
"PT0,PT077,PT078,PT079,PT080",3158
"PT0,PT081,PT082,PT083,PT084",1996
"PT0,PT085,PT086,PT087,PT088",736
"PT0,PT089,PT090,PT091,PT092",1961
"PT0,PT093,PT094,PT095,PT096",318
"PT0,PT097,PT098,PT099,PT100",402
"PT0,PT101,PT102,PT103,PT104",262
"PT0,PT105,PT106,PT107,PT108",304
"PT0,PT109,PT110,PT111,PT112",230
"PT0,PT113,PT114,PT115,PT116",208
"PT0,PT117,PT118,PT119,PT120",62
"PT0,PT121,PT122,PT123,PT124",126
"PT0,PT125,PT126,PT127,PT128",402
"PT0,PT129,PT130,PT131,PT132",371
"PT0,PT133,PT134,PT135,PT136",414
"PT0,PT137,PT138,PT139,PT140",143
"PT0,PT141,PT142,PT143,PT144",70
"PT0,PT145,PT146,PT147,PT148",212
"PT0,PT149,PT150,PT151,PT152",681
"PT0,PT153,PT154,PT155,PT156",100
"PT0,PT157,PT158,PT159,PT160",533
"PT0,PT161,PT162,PT163,PT164",1972
"PT0,PT165,PT166,PT167,PT168",895
"PT0,PT169,PT170,PT171,PT172",413
"PT0,PT173,PT174,PT175,PT176",895
"PT0,PT177,PT178,PT179,PT180",448
"PT0,PT181,PT182,PT183,PT184",1202
"PT0,PT185,PT186,PT187,PT188",100
"PT0,PT189,PT190,PT191,PT192",580
"PT0,PT193,PT194,PT195,PT196",136
"PT0,PT197,PT198,PT199,PT200",5
"PT0,PT201,PT202,PT203,PT204",1061
"PT0,PT205,PT206,PT207,PT208",435
"PT0,PT209,PT210,PT211,PT212",283
"PT0,PT213,PT214,PT215,PT216",300
"PT0,PT217,PT218,PT219,PT220",292
PT00,11979
PT000,759
PT000010,1388
PT000020,2110
PT00002A,886
PT000030,3290
PT000040,1742
"PT000040,PT000070",189
