district_sd,Count
,295
"SD0,SD108",8
"SD0,SD200",845
"SD0,SD224",2
"SD0,SD268",512
"SD0,SD311",55
"SD0,SD333",8
"SD0,SD361",12
"SD0,SD459",28
SD0101,69
SD0102,2023
SD0106,28
SD0107,1990
SD0108,1619
SD0109,31
SD0110,1151
SD0111,1503
SD0113,4148
SD0114,2250
SD0115,2991
"SD0115,SD0335",46
SD0205,2
SD0206,486
SD0208,1932
SD0209,21
SD0211,9
SD0212,240
SD0219,91
SD0220,8
SD0223,1616
SD0224,352
SD0225,617
SD0226,1729
SD0234,10798
SD0235,1740
SD0237,2190
SD0239,2213
SD0240,1569
SD0241,14
SD0245,33
SD0248,2
SD0254,44
SD0258,36
SD0262,3
SD0263,1854
SD0264,221
SD0267,409
SD0269,500
SD0270,1645
SD0271,1408
SD0272,1820
SD0273,3326
SD0274,1558
SD0275,290
SD0282,1747
SD0283,359
SD0284,2
SD0285,45
SD0286,1538
SD0287,13
SD0291,93
SD0292,42
SD0293,32
SD0294,1883
SD0298,12
SD0299,117
SD0300,1132
SD0306,23
SD0307,44
SD0308,21584
SD0309,5239
SD0310,1557
SD0311,1128
SD0312,3105
SD0313,9929
SD0316,255
SD0321,525
SD0322,108
SD0325,2524
SD0326,678
SD0327,2451
SD0329,1
SD0331,275
SD0332,33
SD0333,4
SD0335,1741
SD0336,4025
SD0337,3109
SD0338,42
SD0339,88
SD0340,58
SD0344,1542
SD0346,2660
SD0347,1282
SD0349,2
SD0351,220
SD0353,6016
SD0356,1473
SD0357,2267
SD0358,1267
SD0359,650
SD0360,989
SD0362,3764
SD0364,3841
SD0365,4829
SD0366,1879
SD0369,818
SD0371,616
SD0373,14961
SD0374,21
SD0376,111
SD0377,3137
SD0378,11
SD0379,14
SD0380,2228
SD0381,881
SD0382,5025
SD0383,31
SD0384,2
SD0386,914
SD0387,1006
SD0388,88
SD0389,2968
SD0390,385
SD0392,1463
SD0393,1141
SD0395,1492
SD0396,36
SD0397,769
SD0398,1248
SD0399,329
SD0400,3897
SD0403,673
SD0408,2550
SD0409,7841
SD0410,2627
SD0411,1125
SD0412,1551
SD0415,4017
SD0417,136
SD0418,10203
SD0419,1547
SD0422,993
SD0423,2080
SD0426,15
SD0429,1285
SD0430,2145
SD0435,6232
SD0436,195
SD0438,592
SD0439,1162
SD0440,2117
SD0443,14919
SD0444,239
SD0446,2
SD0448,1725
SD0449,3
SD0459,855
SD0460,3136
SD0461,1812
SD0462,1155
SD0463,1452
SD0465,8645
SD0466,3669
SD0467,1262
"SD0468,SD0482",259
SD0470,8995
SD0471,396
SD0473,4593
SD0474,511
SD0475,18092
SD0476,237
SD0477,521
SD0479,971
SD0480,10418
SD0481,762
SD0482,694
SD0483,1760
SD0484,2471
SD0487,1785
SD0492,3
SD0495,3208
SD0496,405
SD0498,1512
SD0502,417
SD0507,38
SD0509,580
"SD1,SD109",3
"SD1,SD109,SD4",800
"SD1,SD270",33
"SD1,SD284",593
"SD1,SD299",438
"SD1,SD331",14
"SD1,SD332",173
"SD1,SD388",1907
"SD1,SD397",138
"SD1,SD399",11
"SD1,SD407",2
"SD1,SD417",1862
"SD1,SD426",278
"SD1,SD432",1369
"SD1,SD481",676
"SD1,SD489",16546
"SD1,SD494",432
SD101,2506
SD102,79
SD103,776
SD105,1679
SD106,778
SD109,2
"SD109,SD2,SD5",955
"SD109,SD3,SD6",898
SD112,2392
"SD112,SD2",184
"SD14,SD363",652
"SD2,SD284",567
"SD2,SD417",1222
"SD2,SD426",268
"SD2,SD481",3
"SD2,SD494",364
SD202,11040
SD203,11180
SD204,10347
SD205,2884
SD206,2162
SD207,1710
SD208,4
SD209,362
"SD209,SD210",830
SD210,2157
SD211,2982
SD212,393
SD213,32
SD214,3746
SD215,1665
SD216,524
SD217,454
SD218,1604
SD219,607
SD220,821
SD224,897
SD227,894
SD228,330
SD229,106160
SD230,17743
SD231,20038
SD232,30397
SD233,120415
SD235,9
SD239,59
SD240,122
SD241,911
SD242,236
SD243,1976
SD244,2938
SD245,1096
SD24614,889
SD24625,1145
SD24636,1107
SD247,1144
SD24714,611
SD24725,937
SD24736,616
SD248,47
SD24814,1469
SD24825,1278
SD24836,1276
SD249,3067
"SD25,SD363",703
SD250,15449
SD251,2385
SD252,2073
SD253,16080
SD254,1906
SD255,903
SD256,1101
SD257,5748
SD258,1926
SD259,201329
SD260,25333
SD261,15512
SD262,12010
SD263,5263
SD264,4047
SD265,24030
SD266,32526
SD267,6638
SD268,2177
SD269,44
"SD269,SD3",11
SD273,12
SD274,256
SD275,50
SD281,1721
SD283,130
SD284,30
"SD284,SD3",691
SD285,488
SD287,3613
SD288,2165
SD289,3746
SD290,10584
SD291,287
SD292,560
SD293,925
SD294,33
SD297,1523
SD298,1542
SD299,538
"SD3,SD300",13
"SD3,SD426",269
"SD3,SD494",531
SD303,1147
SD305,32999
SD306,2404
SD307,1245
SD309,114
SD310,9
SD311,8
SD312,630
SD314,451
SD315,4575
SD316,239
SD320,6089
SD321,5004
SD322,1333
SD323,4510
SD326,52
SD327,200
SD329,2797
SD33,137
SD330,2334
SD331,4027
"SD331,SD5",97
"SD331,SD6",40
SD332,714
SD333,4181
SD334,789
SD336,8
SD338,1567
SD339,1545
SD340,3825
SD341,2729
SD342,2624
SD343,4975
SD345,15239
SD347,11
SD348,6375
SD349,858
SD350,1194
SD351,507
