precinctPart,Count
AL|Bassett City 257|01,21
AL|Carlyle Twp 257|01,226
AL|Carlyle Twp 479|03,11
AL|Cottage Grove 256 All At Large|01,28
AL|Cottage Grove 258 All At Large|02,137
AL|Deer Creek 256 All At Large|01,30
AL|Deer Creek 257|05,36
AL|Deer Creek 479|04,21
AL|East Elm 256 All At Large|01,45
AL|East Elm 257|02,94
AL|East Elm 258|03,4
AL|Elsmore City 256 All At Large|01,44
AL|Gas City 257|01,346
AL|Geneva 257|01,94
AL|Geneva 479|02,9
AL|Hum City-1 258 All At Large|01,652
AL|Hum City-2 258 All At Large|02,642
AL|Humboldt Twp 258 All At Large|01,219
AL|Iola Ward 1  257|01,782
AL|Iola Ward 2  257|02,1109
AL|Iola Ward 3  257|03,924
AL|Iola Ward 4  257|04,826
AL|LaHarpe City  257|01,309
AL|Logan 258 All At Large|01,86
AL|Logan 413|02,70
AL|Marmaton 256 All At Large|03,206
AL|Moran City 256 All At Large|01,300
AL|North Elsmore 256 All At Large|01,96
AL|North Iola Twp 257|01,196
AL|Osage 256 All At Large|01,196
AL|Salem 256 All At Large|03,40
AL|Salem 258 All At Large|02,144
AL|Savonburg City 256 All At Larg|01,58
AL|South Elsmore 256 All At Large|01,58
AL|South Iola Twp 257|01,373
AL|South Iola Twp 258 All At Lrg|02,39
AL|West Elm 257|01,412
AL|West Elm 258 All At Large|02,3
AN|Colony City|01,285
AN|Garnett 01|01,848
AN|Garnett 02|01,718
AN|Garnett 03|01,650
AN|Garnett 04|01,202
AN|Greeley|01,201
AN|Indian Creek 365|01,22
AN|Indian Creek 479|02,79
AN|Jackson 1-4|03,96
AN|Jackson 2-5|01,133
AN|Jackson 3-6|02,119
AN|Kincaid|01,100
AN|Lincoln 365|01,159
AN|Lincoln 479|02,4
AN|Lone Elm 365|01,27
AN|Lone Elm 479|02,144
AN|Lone Elm City|01,15
AN|Monroe 365/1-4|01,71
AN|Monroe 365/2-5|02,156
AN|Monroe 365/3-6|03,42
AN|Ozark 479/2-5|02,67
AN|Ozark 479/3-6|03,67
AN|Putnam|01,239
AN|Reeder 287/3-6|01,13
AN|Reeder 365/1-4|02,198
AN|Rich|01,199
AN|Walker 365/1-4|01,290
AN|Washington|01,225
AN|Welda 365/3-6|02,205
AN|Welda 479/2-5|03,4
AN|Welda 479/3-6|04,7
AN|Westphalia 365/1-4|01,138
AN|Westphalia City|01,90
AT|Benton 338|01,12
AT|Benton 339 H63|02,37
AT|Benton 339|02,5
AT|Benton 377 H63|01,128
AT|Benton 377|03,160
AT|Center 339|01,46
AT|Center 377|02,393
AT|East Second 409|01,470
AT|East Third 409|01,939
AT|Effingham City 377|01,344
AT|Grasshopper 377 3-6|04,51
AT|Grasshopper 377|02,202
AT|Grasshopper 430 2-5|05,4
AT|Grasshopper 430 3-6|06,24
AT|Huron 377|01,125
AT|Huron City 377|01,46
AT|Kapioma 338|01,2
AT|Kapioma 377|02,186
AT|Lancaster 377|01,247
AT|Lancaster City 377|01,197
AT|Mt Pleasant 377|01,584
AT|Mt Pleasant 409|02,113
AT|Mt Pleasant 449|03,1
AT|Muscotah City 377|01,112
AT|North Fifth 409|01,1128
AT|Only First 409|01,528
AT|Only Fourth 409|01,772
AT|Shannon 377|01,226
AT|Shannon 409|02,768
AT|South Fifth 409|01,666
AT|Walnut 377|01,130
AT|Walnut 409|02,204
AT|Walnut 449|03,2
AT|Walnut Enclave 409|01,5
AT|West Second 409|01,746
AT|West Third 409|01,1502
BA|Aetna Twp (Usd 255)|02,6
BA|Deerhead Twp (Usd 254)|01,11
BA|Eagle Twp (Usd 254)|01,21
BA|Elm Mills Twp (Usd 254)|01,55
BA|Elm Mills Twp (Usd 438)|02,32
BA|Elwood Twp (Usd 255)|01,32
BA|Hardtner City (Usd 255)|02,100
BA|Hazelton City (Usd 255)|01,57
BA|Hazelton Twp (Usd 254)|03,8
BA|Hazelton Twp (Usd 255)|02,23
BA|Isabel City (Usd 254)|02,50
BA|Kiowa East City (Usd 255)|01,353
BA|Kiowa East Twp (Usd 255)|02,39
BA|Kiowa West City (Usd 255 - 1)|01,122
BA|Kiowa West City (Usd 255 - 2)|02,91
BA|Kiowa West Twp (Usd 255 - 1)|03,37
BA|Lake City Twp (Usd 254)|01,56
BA|Mcadoo (Usd 254)|01,9
BA|Mcadoo (Usd 438)|02,9
BA|Med Lodge Five (Mbr 4)|01,44
BA|Med Lodge Four (Mbr 2)|01,171
BA|Med Lodge One (Mbr 1)|01,254
BA|Med Lodge One (Mbr 3)|02,180
BA|Med Lodge Three (Mbr 4)|01,270
BA|Med Lodge Two (Mbr 2)|01,167
BA|Med Lodge Two (Mbr 3)|02,194
BA|Med Lodge Two Exclave  (Mbr 2)|03,7
BA|Mingona Twp (Usd 254)|01,63
BA|Moore Twp (Usd 254-6)|03,14
BA|Moore Twp (Usd 255)|02,10
BA|Moore Twp 17 KH (Usd 255)|01,23
BA|Sharon City (Usd 254)|02,119
BA|Sharon Twp (Usd 254)|01,113
BA|Sun City (City) (Usd 254)|02,35
BA|Sun City (Twp) (Usd 254)|01,6
BA|Turkey Creek (Usd 254)|01,11
BA|Valley Twp (Usd 254)|01,48
BB|1st Ward Exclave Colonial|02,15
BB|1st Ward Exclave Halls|02,22
BB|Bronson City|01,192
BB|Drywood|01,319
BB|East Marion 235 2-5|01,98
BB|East Marion 235 3-6|02,237
BB|Fort Scott 1st Ward|01,966
BB|Fort Scott 2nd Ward|01,915
BB|Fort Scott 3rd Ward|01,399
BB|Fort Scott 4th Ward|01,801
BB|Fort Scott 5th Ward|01,825
BB|Fort Scott 6th Ward|01,2078
BB|Fort Scott 7th Ward|01,1054
BB|Franklin 235|01,112
BB|Franklin 346|02,141
BB|FREEDOM D1|FEF,238
BB|FREEDOM D5|FE5,6
BB|Fulton City|01,118
BB|Mapleton City|01,79
BB|MARMATON D2 234|MN1,234
BB|MARMATON D2 235 1-4|MN2,111
BB|MARMATON D2 235 3-6|MN3,68
BB|MARMATON D4 234|MN4,127
BB|Millcreek 234|01,249
BB|Millcreek 235|02,161
BB|Osage|01,295
BB|Pawnee 234|01,128
BB|Pawnee 235 2-5|03,64
BB|Pawnee 235 3-6|02,87
BB|Redfield City|01,88
BB|SCOTT D1|SC1,155
BB|SCOTT D2|SC2,51
BB|SCOTT D3|SC3,734
BB|SCOTT D4|SC4,549
BB|SCOTT D5|SC5,513
BB|Timberhill 234|01,7
BB|Timberhill 235|02,80
BB|Timberhill 346|03,25
BB|Uniontown City|01,208
BB|Walnut 235|01,81
BB|Walnut 248|02,2
BB|West Marion|01,74
BR|Everest City|01,196
BR|Fairview City|01,171
BR|Hamlin City|01,26
BR|Hamlin Twp - Reserve|01,68
BR|Hamlin Twp (113- -1)|02,34
BR|Hamlin Twp (415 1-4)|01,67
"BR|Hiawatha City, Ward 1|01",342
"BR|Hiawatha City, Ward 2|01",930
"BR|Hiawatha City, Ward 3|01",771
"BR|Hiawatha City, Ward 4|01",156
BR|Hiawatha Twp (415  2-5)|01,299
BR|Hiawatha Twp (415  3-6)|02,151
"BR|Horton City, Ward 1 (1-4)|01",307
"BR|Horton City, Ward 1 (2-5)|02",138
"BR|Horton City, Ward 2 (1-4)|01",202
"BR|Horton City, Ward 2 (3-6)|02",159
"BR|Horton City, Ward 3 (1-4)|01",107
"BR|Horton City, Ward 3 (2-5)|02",40
"BR|Horton City, Ward 3 (3-6)|03",105
BR|Irving Twp (111 1-3-5)|02,16
BR|Irving Twp (415 1-4)|01,211
BR|Mission Twp (415 1-4)|01,77
BR|Mission Twp (430 2-5)|03,135
BR|Mission Twp (430 3-6)|04,181
BR|Morrill City|01,136
BR|Morrill Twp (113 -1)|01,177
BR|Padonia Twp ( 415 1-4)|01,142
BR|Powhattan City|01,46
BR|Powhattan Twp (113 -4)|03,12
BR|Powhattan Twp (335 4-6-7)|04,31
BR|Powhattan Twp (415 1-4)|01,88
BR|Powhattan Twp (430 2-5)|02,347
BR|Reserve City - Hamlin Twp|01,54
BR|Robinson City|01,132
BR|Robinson Twp (415 1-4)|01,147
"BR|Sabetha City, Morrill|01",5
BR|Walnut Twp (113 - 4)|02,86
BR|Walnut Twp (415 1-4)|01,170
BR|Washington Twp (111 2-4-6)|04,10
BR|Washington Twp (415 1-4)|01,15
BR|Washington Twp (430 3-6)|03,122
BR|Willis City|01,21
BT|Albert City|01,119
BT|Albion Twp|01,34
BT|Beaver Twp REC|01,60
BT|Beaver Twp|02,6
BT|Buffalo Twp|01,311
BT|Cheyenne Twp REC|01,120
BT|Cheyenne Twp|03,24
BT|Claflin City REC|02,466
BT|Clarence Twp 428|01,46
BT|Clarence Twp 495|02,50
BT|Cleveland Twp REC|03,26
BT|Cleveland Twp|01,7
