RegisterYear,Count
20,1
24,1
26,1
200,1
202,2
205,1
210,1
220,1
222,1
230,1
240,2
260,1
525,1
1202,1
1800,9
1801,7
1900,10
1901,188
1902,2
1903,1
1907,1
1908,1
1933,1
1935,1
1941,1
1944,3
1946,3
1948,2
1949,1
1950,2
1952,8
1953,2
1954,20
1955,7
1956,72
1957,4
1958,68
1959,23
1960,274
1961,13
1962,123
1963,66
1964,492
1965,44
1966,466
1967,211
1968,1068
1969,109
1970,846
1971,344
1972,10447
1973,402
1974,3737
1975,971
1976,6401
1977,936
1978,5389
1979,1916
1980,9730
1981,1106
1982,4676
1983,2747
1984,12909
1985,2143
1986,9614
1987,4696
1988,19220
1989,3853
1990,14377
1991,7035
1992,43255
1993,6413
1994,25892
1995,20376
1996,47929
1997,22998
1998,33552
1999,20541
2000,40221
2001,15554
2002,28313
2003,19582
2004,76068
2005,21445
2006,29731
2007,21643
2008,74697
2009,23684
2010,40518
2011,29576
2012,70408
2013,27282
2014,41168
2015,37963
2016,97078
2017,41530
2018,91160
2019,68889
2020,159552
2021,69132
2022,137510
2023,80930
2024,192413
2025,89334
2026,34426
2027,2
2206,3
